period,year,month,operator,operator_source_label,traffic_tb,total_market_tb,share_pct,source_sheet,source_row
2019-01,2019,1,Entel,Entel S.A.,57000.484729,724594.589339,7.866535,10.4.TRAF_EMP,11
2019-01,2019,1,Telsur,Telsur,20118.991589,724594.589339,2.776586,10.4.TRAF_EMP,11
2019-01,2019,1,Grupo Claro-VTR,Grupo Claro-VTR,360465.460015,724594.589339,49.747192,10.4.TRAF_EMP,11
2019-01,2019,1,Movistar,Movistar,206460.601989,724594.589339,28.493257,10.4.TRAF_EMP,11
2019-01,2019,1,Entelphone,Entelphone,18327.54749,724594.589339,2.529352,10.4.TRAF_EMP,11
2019-01,2019,1,GTD Manquehue,GTD Manquehue,18757.659823,724594.589339,2.588711,10.4.TRAF_EMP,11
2019-01,2019,1,Fullcom,Fullcom,235.66745,724594.589339,0.032524,10.4.TRAF_EMP,11
2019-01,2019,1,Netline,Netline,200.489882,724594.589339,0.027669,10.4.TRAF_EMP,11
2019-01,2019,1,Austro Internet,Austro Internet,45.498987,724594.589339,0.006279,10.4.TRAF_EMP,11
2019-01,2019,1,Mundo Pacífico,Mundo Pacífico,42982.187385,724594.589339,5.931895,10.4.TRAF_EMP,11
2019-02,2019,2,Entel,Entel S.A.,56057.134994,667794.85346,8.394365,10.4.TRAF_EMP,12
2019-02,2019,2,Telsur,Telsur,18417.539677,667794.85346,2.757964,10.4.TRAF_EMP,12
2019-02,2019,2,Grupo Claro-VTR,Grupo Claro-VTR,330158.658963,667794.85346,49.440132,10.4.TRAF_EMP,12
2019-02,2019,2,Movistar,Movistar,184188.068319,667794.85346,27.581535,10.4.TRAF_EMP,12
2019-02,2019,2,Entelphone,Entelphone,19460.410092,667794.85346,2.91413,10.4.TRAF_EMP,12
2019-02,2019,2,GTD Manquehue,GTD Manquehue,16198.291584,667794.85346,2.425639,10.4.TRAF_EMP,12
2019-02,2019,2,Fullcom,Fullcom,212.100712,667794.85346,0.031761,10.4.TRAF_EMP,12
2019-02,2019,2,Netline,Netline,201.091348,667794.85346,0.030113,10.4.TRAF_EMP,12
2019-02,2019,2,Austro Internet,Austro Internet,44.300872,667794.85346,0.006634,10.4.TRAF_EMP,12
2019-02,2019,2,Mundo Pacífico,Mundo Pacífico,42857.256899,667794.85346,6.417728,10.4.TRAF_EMP,12
2019-03,2019,3,Entel,Entel S.A.,58002.150541,664016.587757,8.735045,10.4.TRAF_EMP,13
2019-03,2019,3,Telsur,Telsur,20187.972055,664016.587757,3.040281,10.4.TRAF_EMP,13
2019-03,2019,3,Grupo Claro-VTR,Grupo Claro-VTR,305693.317289,664016.587757,46.037,10.4.TRAF_EMP,13
2019-03,2019,3,Movistar,Movistar,193916.190374,664016.587757,29.203516,10.4.TRAF_EMP,13
2019-03,2019,3,Entelphone,Entelphone,21797.586758,664016.587757,3.282687,10.4.TRAF_EMP,13
2019-03,2019,3,GTD Manquehue,GTD Manquehue,20079.602899,664016.587757,3.023961,10.4.TRAF_EMP,13
2019-03,2019,3,Fullcom,Fullcom,24.942477,664016.587757,0.003756,10.4.TRAF_EMP,13
2019-03,2019,3,Netline,Netline,224.482292,664016.587757,0.033807,10.4.TRAF_EMP,13
2019-03,2019,3,Austro Internet,Austro Internet,42.551968,664016.587757,0.006408,10.4.TRAF_EMP,13
2019-03,2019,3,Mundo Pacífico,Mundo Pacífico,44047.791103,664016.587757,6.633538,10.4.TRAF_EMP,13
2019-04,2019,4,Entel,Entel S.A.,58122.520742,707812.043599,8.211576,10.4.TRAF_EMP,14
2019-04,2019,4,Telsur,Telsur,20232.331023,707812.043599,2.858433,10.4.TRAF_EMP,14
2019-04,2019,4,Grupo Claro-VTR,Grupo Claro-VTR,347041.160364,707812.043599,49.030129,10.4.TRAF_EMP,14
2019-04,2019,4,Movistar,Movistar,193440.088622,707812.043599,27.329302,10.4.TRAF_EMP,14
2019-04,2019,4,Entelphone,Entelphone,26303.599256,707812.043599,3.716184,10.4.TRAF_EMP,14
2019-04,2019,4,GTD Manquehue,GTD Manquehue,18864.253706,707812.043599,2.66515,10.4.TRAF_EMP,14
2019-04,2019,4,Fullcom,Fullcom,25.142017,707812.043599,0.003552,10.4.TRAF_EMP,14
2019-04,2019,4,Netline,Netline,226.278151,707812.043599,0.031969,10.4.TRAF_EMP,14
2019-04,2019,4,Austro Internet,Austro Internet,40.17352,707812.043599,0.005676,10.4.TRAF_EMP,14
2019-04,2019,4,Mundo Pacífico,Mundo Pacífico,43516.496198,707812.043599,6.14803,10.4.TRAF_EMP,14
2019-05,2019,5,Entel,Entel S.A.,58999.095238,755253.990326,7.811822,10.4.TRAF_EMP,15
2019-05,2019,5,Telsur,Telsur,21957.173557,755253.990326,2.907257,10.4.TRAF_EMP,15
2019-05,2019,5,Grupo Claro-VTR,Grupo Claro-VTR,369361.027008,755253.990326,48.905538,10.4.TRAF_EMP,15
2019-05,2019,5,Movistar,Movistar,207663.559065,755253.990326,27.495857,10.4.TRAF_EMP,15
2019-05,2019,5,Entelphone,Entelphone,27752.724143,755253.990326,3.674621,10.4.TRAF_EMP,15
2019-05,2019,5,GTD Manquehue,GTD Manquehue,20648.525173,755253.990326,2.733984,10.4.TRAF_EMP,15
2019-05,2019,5,Fullcom,Fullcom,22.941794,755253.990326,0.003038,10.4.TRAF_EMP,15
2019-05,2019,5,Netline,Netline,206.476146,755253.990326,0.027339,10.4.TRAF_EMP,15
2019-05,2019,5,Austro Internet,Austro Internet,18.390019,755253.990326,0.002435,10.4.TRAF_EMP,15
2019-05,2019,5,Mundo Pacífico,Mundo Pacífico,48624.078184,755253.990326,6.438109,10.4.TRAF_EMP,15
2019-06,2019,6,Entel,Entel S.A.,59908.905032,783563.05984,7.645703,10.4.TRAF_EMP,16
2019-06,2019,6,Telsur,Telsur,22604.215014,783563.05984,2.884798,10.4.TRAF_EMP,16
2019-06,2019,6,Grupo Claro-VTR,Grupo Claro-VTR,384738.811464,783563.05984,49.101193,10.4.TRAF_EMP,16
2019-06,2019,6,Movistar,Movistar,212800.614342,783563.05984,27.158071,10.4.TRAF_EMP,16
2019-06,2019,6,Entelphone,Entelphone,27507.305124,783563.05984,3.510541,10.4.TRAF_EMP,16
2019-06,2019,6,GTD Manquehue,GTD Manquehue,21423.519467,783563.05984,2.734116,10.4.TRAF_EMP,16
2019-06,2019,6,Fullcom,Fullcom,22.758259,783563.05984,0.002904,10.4.TRAF_EMP,16
2019-06,2019,6,Netline,Netline,204.824342,783563.05984,0.02614,10.4.TRAF_EMP,16
2019-06,2019,6,Austro Internet,Austro Internet,11.3139,783563.05984,0.001444,10.4.TRAF_EMP,16
2019-06,2019,6,Mundo Pacífico,Mundo Pacífico,54340.792896,783563.05984,6.935089,10.4.TRAF_EMP,16
2019-07,2019,7,Entel,Entel S.A.,60036.404139,878244.53802,6.835955,10.4.TRAF_EMP,17
2019-07,2019,7,Telsur,Telsur,26119.283427,878244.53802,2.974033,10.4.TRAF_EMP,17
2019-07,2019,7,Grupo Claro-VTR,Grupo Claro-VTR,427979.724617,878244.53802,48.731271,10.4.TRAF_EMP,17
2019-07,2019,7,Movistar,Movistar,249571.628846,878244.53802,28.4171,10.4.TRAF_EMP,17
2019-07,2019,7,Entelphone,Entelphone,31776.156533,878244.53802,3.618145,10.4.TRAF_EMP,17
2019-07,2019,7,GTD Manquehue,GTD Manquehue,23244.960218,878244.53802,2.646753,10.4.TRAF_EMP,17
