period,year,quarter,residential_thousand,commercial_thousand,total_thousand,residential_share_pct,commercial_share_pct,penetration_per_100,source_id,source_page
2010Q4,2010,4,2150,1244,3394,63.347,36.653,20.2,subtel_report_2026h1,29
2011Q1,2011,1,2129,1256,3385,62.895,37.105,20.0,subtel_report_2026h1,29
2011Q2,2011,2,2122,1261,3383,62.725,37.275,20.0,subtel_report_2026h1,29
2011Q3,2011,3,2099,1263,3362,62.433,37.567,19.7,subtel_report_2026h1,29
2011Q4,2011,4,2076,1268,3344,62.081,37.919,19.5,subtel_report_2026h1,29
2012Q1,2012,1,2048,1256,3304,61.985,38.015,19.3,subtel_report_2026h1,29
2012Q2,2012,2,2035,1257,3292,61.817,38.183,19.1,subtel_report_2026h1,29
2012Q3,2012,3,2021,1253,3274,61.729,38.271,19.0,subtel_report_2026h1,29
2012Q4,2012,4,2003,1258,3261,61.423,38.577,18.8,subtel_report_2026h1,29
2013Q1,2013,1,1998,1242,3240,61.667,38.333,18.7,subtel_report_2026h1,29
2013Q2,2013,2,1975,1254,3229,61.164,38.836,18.6,subtel_report_2026h1,29
2013Q3,2013,3,2056,1252,3308,62.152,37.848,19.0,subtel_report_2026h1,29
2013Q4,2013,4,2065,1253,3318,62.236,37.764,19.0,subtel_report_2026h1,29
2014Q1,2014,1,2095,1256,3351,62.519,37.481,19.1,subtel_report_2026h1,29
2014Q2,2014,2,2097,1279,3376,62.115,37.885,19.2,subtel_report_2026h1,29
2014Q3,2014,3,2087,1277,3364,62.039,37.961,19.1,subtel_report_2026h1,29
2014Q4,2014,4,2113,1285,3398,62.184,37.816,19.2,subtel_report_2026h1,29
2015Q1,2015,1,2106,1310,3416,61.651,38.349,19.2,subtel_report_2026h1,29
2015Q2,2015,2,2117,1303,3420,61.901,38.099,19.2,subtel_report_2026h1,29
2015Q3,2015,3,2120,1297,3417,62.043,37.957,19.1,subtel_report_2026h1,29
2015Q4,2015,4,2127,1291,3418,62.229,37.771,19.1,subtel_report_2026h1,29
2016Q1,2016,1,2105,1286,3391,62.076,37.924,18.9,subtel_report_2026h1,29
2016Q2,2016,2,2110,1276,3386,62.315,37.685,18.8,subtel_report_2026h1,29
2016Q3,2016,3,2104,1262,3366,62.507,37.493,18.6,subtel_report_2026h1,29
2016Q4,2016,4,2079,1270,3349,62.078,37.922,18.4,subtel_report_2026h1,29
2017Q1,2017,1,2038,1272,3310,61.571,38.429,18.1,subtel_report_2026h1,29
2017Q2,2017,2,1999,1270,3269,61.15,38.85,17.8,subtel_report_2026h1,29
2017Q3,2017,3,1963,1286,3249,60.419,39.581,17.5,subtel_report_2026h1,29
2017Q4,2017,4,1910,1259,3169,60.271,39.729,17.2,subtel_report_2026h1,29
2018Q1,2018,1,1860,1266,3126,59.501,40.499,16.9,subtel_report_2026h1,29
2018Q2,2018,2,1819,1266,3085,58.963,41.037,16.6,subtel_report_2026h1,29
2018Q3,2018,3,1768,1259,3027,58.408,41.592,16.2,subtel_report_2026h1,29
2018Q4,2018,4,1718,1257,2975,57.748,42.252,15.9,subtel_report_2026h1,29
2019Q1,2019,1,1663,1244,2907,57.207,42.793,15.4,subtel_report_2026h1,29
2019Q2,2019,2,1611,1242,2853,56.467,43.533,15.1,subtel_report_2026h1,29
2019Q3,2019,3,1569,1235,2804,55.956,44.044,14.8,subtel_report_2026h1,29
2019Q4,2019,4,1512,1219,2731,55.364,44.636,14.3,subtel_report_2026h1,29
2020Q1,2020,1,1460,1228,2688,54.315,45.685,14.1,subtel_report_2026h1,29
2020Q2,2020,2,1404,1217,2621,53.567,46.433,13.7,subtel_report_2026h1,29
2020Q3,2020,3,1340,1239,2579,51.958,48.042,13.5,subtel_report_2026h1,29
2020Q4,2020,4,1327,1224,2551,52.019,47.981,13.3,subtel_report_2026h1,29
2021Q1,2021,1,1326,1220,2546,52.082,47.918,13.2,subtel_report_2026h1,29
2021Q2,2021,2,1319,1218,2537,51.991,48.009,13.2,subtel_report_2026h1,29
2021Q3,2021,3,1309,1209,2518,51.986,48.014,13.0,subtel_report_2026h1,29
2021Q4,2021,4,1293,1201,2494,51.844,48.156,12.9,subtel_report_2026h1,29
2022Q1,2022,1,1256,1233,2489,50.462,49.538,12.8,subtel_report_2026h1,29
2022Q2,2022,2,1171,1219,2390,48.996,51.004,12.2,subtel_report_2026h1,29
2022Q3,2022,3,1114,1202,2316,48.1,51.9,11.8,subtel_report_2026h1,29
2022Q4,2022,4,1033,1181,2214,46.658,53.342,11.3,subtel_report_2026h1,29
2023Q1,2023,1,1008,1134,2142,47.059,52.941,10.9,subtel_report_2026h1,29
2023Q2,2023,2,957,1120,2077,46.076,53.924,10.5,subtel_report_2026h1,29
2023Q3,2023,3,933,1086,2019,46.211,53.789,10.2,subtel_report_2026h1,29
2023Q4,2023,4,905,1071,1976,45.8,54.2,10.0,subtel_report_2026h1,29
2024Q1,2024,1,873,1056,1929,45.257,54.743,9.7,subtel_report_2026h1,29
2024Q2,2024,2,841,1021,1862,45.166,54.834,9.4,subtel_report_2026h1,29
2024Q3,2024,3,807,992,1799,44.858,55.142,9.0,subtel_report_2026h1,29
2024Q4,2024,4,768,967,1735,44.265,55.735,8.7,subtel_report_2026h1,29
2025Q1,2025,1,718,904,1622,44.266,55.734,8.1,subtel_report_2026h1,29
2025Q2,2025,2,694,889,1583,43.841,56.159,7.9,subtel_report_2026h1,29
2025Q3,2025,3,643,875,1518,42.358,57.642,7.6,subtel_report_2026h1,29
2025Q4,2025,4,613,862,1475,41.559,58.441,7.3,subtel_report_2026h1,29
2026Q1,2026,1,584,853,1437,40.64,59.36,7.1,subtel_report_2026h1,29
2026Q2,2026,2,556,848,1404,39.601,60.399,7.0,subtel_report_2026h1,29
