window,domain,metric,entity,base_period,end_period,base_value,end_value,absolute_change,pct_change,base_share_pct,end_share_pct,share_change_pp,pct_change_difference_vs_1S2025_pp
1S2025,national,fixed_connections,all_fixed,2024-12,2025-06,4690891.0,4744176.0,53285.0,1.135925,,,,
1S2026,national,fixed_connections,all_fixed,2025-12,2026-06,4796680.0,4900369.0,103689.0,2.161683,,,,1.025758
1S2025,mobile_technology,connections,4G,2024-12,2025-06,16202462.0,13751799.0,-2450663.0,-15.125251,,,,
1S2026,mobile_technology,connections,4G,2025-12,2026-06,12671496.0,11446039.0,-1225457.0,-9.670973,,,,5.454278
1S2025,mobile_technology,connections,5G,2024-12,2025-06,6106743.0,8206923.0,2100180.0,34.391164,,,,
1S2026,mobile_technology,connections,5G,2025-12,2026-06,9698786.0,10818497.0,1119711.0,11.544857,,,,-22.846307
1S2025,mobile_plan,connections,prepaid,2024-12,2025-06,5059019.0,4392515.0,-666504.0,-13.17457,21.875103,19.366976,-2.508127,
1S2026,mobile_plan,connections,prepaid,2025-12,2026-06,4232450.0,3961979.0,-270471.0,-6.390412,18.622989,17.538157,-1.084832,6.784158
1S2025,mobile_plan,connections,contract,2024-12,2025-06,18067816.0,18287923.0,220107.0,1.218227,78.124897,80.633024,2.508127,
1S2026,mobile_plan,connections,contract,2025-12,2026-06,18494568.0,18628644.0,134076.0,0.724948,81.377011,82.461843,1.084832,-0.493279
1S2025,traffic,mobile_total_tb,all_mobile,2024-12,2025-06,540588.169896,604945.806259,64357.636363,11.905114,,,,
1S2026,traffic,mobile_total_tb,all_mobile,2025-12,2026-06,651753.916795,696164.208213,44410.291418,6.813966,,,,-5.091148
1S2025,traffic,fixed_total_tb,all_fixed,2024-12,2025-06,2877713.603801,2915698.398943,37984.795142,1.319964,,,,
1S2026,traffic,fixed_total_tb,all_fixed,2025-12,2026-06,3240609.644121,3427290.448281,186680.80416,5.760669,,,,4.440705
1S2025,satellite_proxy,connections,Starlink,2024-12,2025-06,74271.0,101468.0,27197.0,36.618599,1.583303,2.138791,0.555488,
1S2026,satellite_proxy,connections,Starlink,2025-12,2026-06,127539.0,169445.0,41906.0,32.8574,2.658902,3.457801,0.798899,-3.761199
1S2025,satellite_proxy,connections,Hughesnet,2024-12,2025-06,6375.0,5507.0,-868.0,-13.615686,,,,
1S2026,satellite_proxy,connections,Hughesnet,2025-12,2026-06,4769.0,4146.0,-623.0,-13.063535,,,,0.552151
1S2025,mobile_operator,connections,Entel,2024-12,2025-06,8151543.0,8046030.0,-105513.0,-1.294393,35.247119,35.475638,0.228519,
1S2026,mobile_operator,connections,Entel,2025-12,2026-06,8017997.0,7941760.0,-76237.0,-0.950824,35.279582,35.155117,-0.124465,0.343569
1S2025,mobile_operator,traffic_tb,Entel,2024-12,2025-06,219856.295484,231974.083193,12117.787709,5.511686,40.669831,38.346259,-2.323572,
1S2026,mobile_operator,traffic_tb,Entel,2025-12,2026-06,254356.384074,272450.605723,18094.221649,7.113728,39.026445,39.135969,0.109524,1.602042
1S2025,mobile_operator,connections,Grupo Claro-VTR,2024-12,2025-06,4363425.0,4494642.0,131217.0,3.007202,18.867368,19.817263,0.949895,
1S2026,mobile_operator,connections,Grupo Claro-VTR,2025-12,2026-06,4592982.0,4746510.0,153528.0,3.342665,20.209347,21.010974,0.801627,0.335463
1S2025,mobile_operator,traffic_tb,Grupo Claro-VTR,2024-12,2025-06,93678.675908,115853.386014,22174.710106,23.671033,17.329028,19.151035,1.822007,
1S2026,mobile_operator,traffic_tb,Grupo Claro-VTR,2025-12,2026-06,120790.017603,129675.564615,8885.547012,7.356193,18.533071,18.627152,0.094081,-16.31484
1S2025,mobile_operator,connections,Movistar,2024-12,2025-06,4479298.0,4314477.0,-164821.0,-3.679617,19.3684,19.0229,-0.3455,
1S2026,mobile_operator,connections,Movistar,2025-12,2026-06,4324431.0,4175789.0,-148642.0,-3.437261,19.02771,18.484612,-0.543098,0.242356
1S2025,mobile_operator,traffic_tb,Movistar,2024-12,2025-06,73075.927183,99785.815806,26709.888623,36.550872,13.517855,16.495001,2.977146,
1S2026,mobile_operator,traffic_tb,Movistar,2025-12,2026-06,107431.455085,113342.591433,5911.136348,5.50224,16.483438,16.281014,-0.202424,-31.048632
1S2025,mobile_operator,connections,WOM,2024-12,2025-06,5913328.0,5629407.0,-283921.0,-4.801374,25.569119,24.820539,-0.74858,
1S2026,mobile_operator,connections,WOM,2025-12,2026-06,5571024.0,5484773.0,-86251.0,-1.548207,24.51278,24.278981,-0.233799,3.253167
1S2025,mobile_operator,traffic_tb,WOM,2024-12,2025-06,152027.284947,155619.306064,3592.021117,2.362748,28.12257,25.724504,-2.398066,
1S2026,mobile_operator,traffic_tb,WOM,2025-12,2026-06,166917.228789,177511.527359,10594.29857,6.347037,25.610468,25.498514,-0.111954,3.984289
1S2025,fixed_operator,connections,Entel,2024-12,2025-06,435022.0,466389.0,31367.0,7.21044,9.273761,9.830769,0.557008,
1S2026,fixed_operator,connections,Entel,2025-12,2026-06,485032.0,536613.0,51581.0,10.634556,10.111827,10.950461,0.838634,3.424116
1S2025,fixed_operator,traffic_tb,Entel,2024-12,2025-06,380012.587963,387306.33391,7293.745947,1.919343,13.205365,13.283484,0.078119,
1S2026,fixed_operator,traffic_tb,Entel,2025-12,2026-06,373441.484059,437315.339782,63873.855723,17.104114,11.523803,12.759798,1.235995,15.184771
1S2025,fixed_operator,connections,GTD,2024-12,2025-06,308243.0,295890.0,-12353.0,-4.007552,6.571097,6.23691,-0.334187,
1S2026,fixed_operator,connections,GTD,2025-12,2026-06,299471.0,302599.0,3128.0,1.044508,6.243297,6.175025,-0.068272,5.05206
1S2025,fixed_operator,traffic_tb,GTD,2024-12,2025-06,172544.905621,182268.177168,9723.271547,5.635212,5.995903,6.25127,0.255367,
1S2026,fixed_operator,traffic_tb,GTD,2025-12,2026-06,197410.501409,217626.327135,20215.825726,10.240502,6.09177,6.349807,0.258037,4.60529
1S2025,fixed_operator,connections,Grupo Claro-VTR,2024-12,2025-06,1355319.0,1309492.0,-45827.0,-3.38127,28.892571,27.602096,-1.290475,
1S2026,fixed_operator,connections,Grupo Claro-VTR,2025-12,2026-06,1279458.0,1274737.0,-4721.0,-0.368984,26.673824,26.013082,-0.660742,3.012286
1S2025,fixed_operator,traffic_tb,Grupo Claro-VTR,2024-12,2025-06,812967.452673,739604.021367,-73363.431306,-9.024154,28.250464,25.366273,-2.884191,
1S2026,fixed_operator,traffic_tb,Grupo Claro-VTR,2025-12,2026-06,673214.578601,880963.870984,207749.292383,30.859298,20.774319,25.704383,4.930064,39.883452
1S2025,fixed_operator,connections,Movistar,2024-12,2025-06,1336464.0,1332856.0,-3608.0,-0.269966,28.490622,28.094573,-0.396049,
1S2026,fixed_operator,connections,Movistar,2025-12,2026-06,1331208.0,1299891.0,-31317.0,-2.352525,27.752696,26.52639,-1.226306,-2.082559
1S2025,fixed_operator,traffic_tb,Movistar,2024-12,2025-06,775133.736654,821617.934461,46484.197807,5.996926,26.93575,28.179113,1.243363,
1S2026,fixed_operator,traffic_tb,Movistar,2025-12,2026-06,948950.29901,812821.691219,-136128.607791,-14.345178,29.28308,23.71616,-5.56692,-20.342104
1S2025,fixed_operator,connections,Mundo,2024-12,2025-06,920389.0,971024.0,50635.0,5.501478,19.620771,20.467706,0.846935,
1S2026,fixed_operator,connections,Mundo,2025-12,2026-06,1002790.0,1037607.0,34817.0,3.472013,20.905918,21.174059,0.268141,-2.029465
1S2025,fixed_operator,traffic_tb,Mundo,2024-12,2025-06,614626.80814,652182.503297,37555.695157,6.110325,21.358165,22.367969,1.009804,
1S2026,fixed_operator,traffic_tb,Mundo,2025-12,2026-06,904034.680375,934366.639748,30331.959373,3.355177,27.897056,27.262546,-0.63451,-2.755148
