period,region,adsl_connections,hfc_connections,wimax_connections,fttx_fiber_connections,other_fixed_technologies_residual,total_fixed_connections,source_sheet,source_row
2026-03,1,52,12690,0,71699,3522,87963,7.7.1.CO_TEC_RG_EMP_FIJAS,9
2026-03,2,36,47252,3,127905,10817,186013,7.7.1.CO_TEC_RG_EMP_FIJAS,10
2026-03,3,9,6790,1,60514,7561,74875,7.7.1.CO_TEC_RG_EMP_FIJAS,11
2026-03,4,26,22981,3,172121,8298,203429,7.7.1.CO_TEC_RG_EMP_FIJAS,12
2026-03,5,39,92154,2,482107,18678,592980,7.7.1.CO_TEC_RG_EMP_FIJAS,13
2026-03,6,68,24576,4,171406,10595,206649,7.7.1.CO_TEC_RG_EMP_FIJAS,14
2026-03,7,236,13924,17,196989,10369,221535,7.7.1.CO_TEC_RG_EMP_FIJAS,15
2026-03,8,1070,38631,6,404334,21239,465280,7.7.1.CO_TEC_RG_EMP_FIJAS,16
2026-03,9,1118,8562,0,195951,16220,221851,7.7.1.CO_TEC_RG_EMP_FIJAS,17
2026-03,10,3145,11989,13,152654,21190,188991,7.7.1.CO_TEC_RG_EMP_FIJAS,18
2026-03,11,609,0,0,19949,5103,25661,7.7.1.CO_TEC_RG_EMP_FIJAS,19
2026-03,12,8,2616,0,50284,3763,56671,7.7.1.CO_TEC_RG_EMP_FIJAS,20
2026-03,13,1536,205880,12,1840328,32692,2080448,7.7.1.CO_TEC_RG_EMP_FIJAS,21
2026-03,14,1184,5123,0,71761,8415,86483,7.7.1.CO_TEC_RG_EMP_FIJAS,22
2026-03,15,8,15977,2,42538,1710,60235,7.7.1.CO_TEC_RG_EMP_FIJAS,23
2026-03,16,223,7606,5,87089,5692,100615,7.7.1.CO_TEC_RG_EMP_FIJAS,24
