domain,metric,entity,base_period,end_period,base_value,end_value,absolute_change,pct_change,base_share_pct,end_share_pct,share_change_pp
fixed_plan,connections,postpaid,2024-06,2025-06,4610190.0,4744051.0,133861.0,2.90359,99.985903,99.997365,0.011462
fixed_plan,connections,postpaid,2025-06,2026-06,4744051.0,4900359.0,156308.0,3.294821,99.997365,99.999796,0.002431
fixed_plan,connections,postpaid,2025-12,2026-06,4796478.0,4900359.0,103881.0,2.165777,99.995789,99.999796,0.004007
fixed_plan,connections,prepaid,2024-06,2025-06,650.0,125.0,-525.0,-80.769231,0.014097,0.002635,-0.011462
fixed_plan,connections,prepaid,2025-06,2026-06,125.0,10.0,-115.0,-92.0,0.002635,0.000204,-0.002431
fixed_plan,connections,prepaid,2025-12,2026-06,202.0,10.0,-192.0,-95.049505,0.004211,0.000204,-0.004007
mobile_plan,3g_4g_5g_connections,contract,2024-06,2025-06,17867811.0,18287923.0,420112.0,2.351223,78.914253,80.633024,1.718771
mobile_plan,3g_4g_5g_connections,contract,2025-06,2026-06,18287923.0,18628644.0,340721.0,1.863093,80.633024,82.461843,1.828819
mobile_plan,3g_4g_5g_connections,contract,2025-12,2026-06,18494568.0,18628644.0,134076.0,0.724948,81.377011,82.461843,1.084832
mobile_plan,3g_4g_5g_connections,prepaid,2024-06,2025-06,4774247.0,4392515.0,-381732.0,-7.995648,21.085747,19.366976,-1.718771
mobile_plan,3g_4g_5g_connections,prepaid,2025-06,2026-06,4392515.0,3961979.0,-430536.0,-9.801583,19.366976,17.538157,-1.828819
mobile_plan,3g_4g_5g_connections,prepaid,2025-12,2026-06,4232450.0,3961979.0,-270471.0,-6.390412,18.622989,17.538157,-1.084832
mobile_traffic_plan,traffic_tb,postpaid,2024-06,2025-06,504661.155279,568761.192828,64100.037549,12.701599,93.542662,94.018536,0.475874
mobile_traffic_plan,traffic_tb,postpaid,2025-06,2026-06,568761.192828,660796.577294,92035.384466,16.181727,94.018536,94.919642,0.901106
mobile_traffic_plan,traffic_tb,postpaid,2025-12,2026-06,612324.282812,660796.577294,48472.294482,7.916115,93.950227,94.919642,0.969415
mobile_traffic_plan,traffic_tb,prepaid,2024-06,2025-06,34837.23511,36184.613431,1347.378321,3.867639,6.457338,5.981464,-0.475874
mobile_traffic_plan,traffic_tb,prepaid,2025-06,2026-06,36184.613431,35367.63092,-816.982511,-2.257817,5.981464,5.080358,-0.901106
mobile_traffic_plan,traffic_tb,prepaid,2025-12,2026-06,39429.633983,35367.63092,-4062.003063,-10.301904,6.049773,5.080358,-0.969415
fixed_operator,connections,Entel,2024-06,2025-06,374785.0,466389.0,91604.0,24.441747,8.128345,9.830769,1.702424
fixed_operator,connections,GTD,2024-06,2025-06,308732.0,295890.0,-12842.0,-4.159595,6.695786,6.23691,-0.458876
fixed_operator,connections,Grupo Claro-VTR,2024-06,2025-06,1394105.0,1309492.0,-84613.0,-6.069342,30.23538,27.602096,-2.633284
fixed_operator,connections,Movistar,2024-06,2025-06,1357856.0,1332856.0,-25000.0,-1.841138,29.449211,28.094573,-1.354638
fixed_operator,connections,Mundo,2024-06,2025-06,871090.0,971024.0,99934.0,11.472293,18.892219,20.467706,1.575487
fixed_operator,connections,Otros,2024-06,2025-06,304272.0,368525.0,64253.0,21.116961,6.599058,7.767945,1.168887
fixed_operator,connections,Entel,2025-06,2026-06,466389.0,536613.0,70224.0,15.056959,9.830769,10.950461,1.119692
fixed_operator,connections,GTD,2025-06,2026-06,295890.0,302599.0,6709.0,2.267397,6.23691,6.175025,-0.061885
fixed_operator,connections,Grupo Claro-VTR,2025-06,2026-06,1309492.0,1274737.0,-34755.0,-2.654083,27.602096,26.013082,-1.589014
fixed_operator,connections,Movistar,2025-06,2026-06,1332856.0,1299891.0,-32965.0,-2.47326,28.094573,26.52639,-1.568183
fixed_operator,connections,Mundo,2025-06,2026-06,971024.0,1037607.0,66583.0,6.856988,20.467706,21.174059,0.706353
fixed_operator,connections,Otros,2025-06,2026-06,368525.0,448922.0,80397.0,21.815888,7.767945,9.160984,1.393039
fixed_operator,connections,Entel,2025-12,2026-06,485032.0,536613.0,51581.0,10.634556,10.111827,10.950461,0.838634
fixed_operator,connections,GTD,2025-12,2026-06,299471.0,302599.0,3128.0,1.044508,6.243297,6.175025,-0.068272
fixed_operator,connections,Grupo Claro-VTR,2025-12,2026-06,1279458.0,1274737.0,-4721.0,-0.368984,26.673824,26.013082,-0.660742
fixed_operator,connections,Movistar,2025-12,2026-06,1331208.0,1299891.0,-31317.0,-2.352525,27.752696,26.52639,-1.226306
fixed_operator,connections,Mundo,2025-12,2026-06,1002790.0,1037607.0,34817.0,3.472013,20.905918,21.174059,0.268141
fixed_operator,connections,Otros,2025-12,2026-06,398721.0,448922.0,50201.0,12.590508,8.312437,9.160984,0.848547
mobile_operator_3g_4g_5g,connections,Entel,2024-06,2025-06,7895199.0,8046030.0,150831.0,1.910414,34.869617,35.475638,0.606021
mobile_operator_3g_4g_5g,connections,GTD Móvil,2024-06,2025-06,4463.0,0.0,-4463.0,-100.0,0.019711,0.0,-0.019711
mobile_operator_3g_4g_5g,connections,Grupo Claro-VTR,2024-06,2025-06,4259207.0,4494642.0,235435.0,5.527672,18.811042,19.817263,1.006221
mobile_operator_3g_4g_5g,connections,Movistar,2024-06,2025-06,4547918.0,4314477.0,-233441.0,-5.13292,20.086151,19.0229,-1.063251
mobile_operator_3g_4g_5g,connections,Mundo Pacífico,2024-06,2025-06,149022.0,144141.0,-4881.0,-3.275355,0.658165,0.63553,-0.022635
mobile_operator_3g_4g_5g,connections,Netline,2024-06,2025-06,0.0,0.0,0.0,,0.0,0.0,0.0
mobile_operator_3g_4g_5g,connections,Simple,2024-06,2025-06,0.0,0.0,0.0,,0.0,0.0,0.0
mobile_operator_3g_4g_5g,connections,Suma Móvil Chile,2024-06,2025-06,5770.0,12989.0,7219.0,125.112652,0.025484,0.05727,0.031786
mobile_operator_3g_4g_5g,connections,Virgin,2024-06,2025-06,45872.0,38752.0,-7120.0,-15.521451,0.202596,0.170861,-0.031735
mobile_operator_3g_4g_5g,connections,WOM,2024-06,2025-06,5734607.0,5629407.0,-105200.0,-1.834476,25.327234,24.820539,-0.506695
mobile_operator_3g_4g_5g,connections,Entel,2025-06,2026-06,8046030.0,7941760.0,-104270.0,-1.295919,35.475638,35.155117,-0.320521
mobile_operator_3g_4g_5g,connections,GTD Móvil,2025-06,2026-06,0.0,4687.0,4687.0,,0.0,0.020748,0.020748
mobile_operator_3g_4g_5g,connections,Grupo Claro-VTR,2025-06,2026-06,4494642.0,4746510.0,251868.0,5.603739,19.817263,21.010974,1.193711
mobile_operator_3g_4g_5g,connections,Movistar,2025-06,2026-06,4314477.0,4175789.0,-138688.0,-3.21448,19.0229,18.484612,-0.538288
mobile_operator_3g_4g_5g,connections,Mundo Pacífico,2025-06,2026-06,144141.0,179828.0,35687.0,24.758396,0.63553,0.796029,0.160499
mobile_operator_3g_4g_5g,connections,Netline,2025-06,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0
mobile_operator_3g_4g_5g,connections,Simple,2025-06,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0
mobile_operator_3g_4g_5g,connections,Suma Móvil Chile,2025-06,2026-06,12989.0,16632.0,3643.0,28.046809,0.05727,0.073623,0.016353
mobile_operator_3g_4g_5g,connections,Virgin,2025-06,2026-06,38752.0,40644.0,1892.0,4.882329,0.170861,0.179915,0.009054
mobile_operator_3g_4g_5g,connections,WOM,2025-06,2026-06,5629407.0,5484773.0,-144634.0,-2.569258,24.820539,24.278981,-0.541558
mobile_operator_3g_4g_5g,connections,Entel,2025-12,2026-06,8017997.0,7941760.0,-76237.0,-0.950824,35.279582,35.155117,-0.124465
mobile_operator_3g_4g_5g,connections,GTD Móvil,2025-12,2026-06,4501.0,4687.0,186.0,4.132415,0.019805,0.020748,0.000943
mobile_operator_3g_4g_5g,connections,Grupo Claro-VTR,2025-12,2026-06,4592982.0,4746510.0,153528.0,3.342665,20.209347,21.010974,0.801627
mobile_operator_3g_4g_5g,connections,Movistar,2025-12,2026-06,4324431.0,4175789.0,-148642.0,-3.437261,19.02771,18.484612,-0.543098
mobile_operator_3g_4g_5g,connections,Mundo Pacífico,2025-12,2026-06,159523.0,179828.0,20305.0,12.728572,0.701909,0.796029,0.09412
mobile_operator_3g_4g_5g,connections,Netline,2025-12,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0
mobile_operator_3g_4g_5g,connections,Simple,2025-12,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0
mobile_operator_3g_4g_5g,connections,Suma Móvil Chile,2025-12,2026-06,14663.0,16632.0,1969.0,13.428357,0.064518,0.073623,0.009105
mobile_operator_3g_4g_5g,connections,Virgin,2025-12,2026-06,41897.0,40644.0,-1253.0,-2.990668,0.184349,0.179915,-0.004434
mobile_operator_3g_4g_5g,connections,WOM,2025-12,2026-06,5571024.0,5484773.0,-86251.0,-1.548207,24.51278,24.278981,-0.233799
satellite_operator_proxy,connections,Hughesnet,2024-06,2025-06,7450.0,5507.0,-1943.0,-26.080537,,,
satellite_operator_proxy,connections,Starlink,2024-06,2025-06,57655.0,101468.0,43813.0,75.991675,,,
satellite_operator_proxy,connections,Hughesnet,2025-06,2026-06,5507.0,4146.0,-1361.0,-24.714,,,
satellite_operator_proxy,connections,Starlink,2025-06,2026-06,101468.0,169445.0,67977.0,66.993535,,,
satellite_operator_proxy,connections,Hughesnet,2025-12,2026-06,4769.0,4146.0,-623.0,-13.063535,,,
satellite_operator_proxy,connections,Starlink,2025-12,2026-06,127539.0,169445.0,41906.0,32.8574,,,
mobile_traffic_operator,traffic_tb,Entel,2024-06,2025-06,212678.061212,231974.083193,19296.021981,9.072878,39.421445,38.346259,-1.075186
mobile_traffic_operator,traffic_tb,Grupo Claro-VTR,2024-06,2025-06,83366.916577,115853.386014,32486.469437,38.968059,15.452672,19.151035,3.698363
mobile_traffic_operator,traffic_tb,Movistar,2024-06,2025-06,91561.571846,99785.815806,8224.24396,8.9822,16.971612,16.495001,-0.476611
mobile_traffic_operator,traffic_tb,Mundo Pacífico,2024-06,2025-06,1444.863622,1703.93959,259.075968,17.930825,0.267816,0.281668,0.013852
