period,connections_4g,connections_5g,gap_4g_minus_5g,ratio_5g_to_4g_pct,gap_closure_vs_prior_month,trailing_3m_avg_gap_closure
2021-12,20985682,32430,20953252,0.154534,,
2022-01,20954044,49742,20904302,0.237386,48950,48950.0
2022-02,20678269,157219,20521050,0.76031,383252,216101.0
2022-03,20477532,328218,20149314,1.60282,371736,267979.333
2022-04,20472650,545323,19927327,2.663666,221987,325658.333
2022-05,20412873,723989,19688884,3.546728,238443,277388.667
2022-06,20357285,843046,19514239,4.14125,174645,211691.667
2022-07,20323620,935937,19387683,4.605169,126556,179881.333
2022-08,19903106,1444406,18458700,7.257189,928983,410061.333
2022-09,19674370,1586523,18087847,8.063908,370853,475464.0
2022-10,19463947,1739783,17724164,8.93849,363683,554506.333
2022-11,19179521,1846170,17333351,9.625736,390813,375116.333
2022-12,19201262,2040071,17161191,10.624671,172160,308885.333
2023-01,19079488,2143629,16935859,11.235254,225332,262768.333
2023-02,18847284,2266411,16580873,12.025133,354986,250826.0
2023-03,18874932,2437816,16437116,12.915628,143757,241358.333
2023-04,18603593,2542549,16061044,13.666978,376072,291605.0
2023-05,18448368,2659864,15788504,14.417882,272540,264123.0
2023-06,18418975,2802240,15616735,15.213876,171769,273460.333
2023-07,18543161,2930119,15613042,15.801615,3693,149334.0
2023-08,18435563,3052701,15382862,16.558762,230180,135214.0
2023-09,18395381,3144038,15251343,17.091454,131519,121797.333
2023-10,18360823,3286313,15074510,17.898506,176833,179510.667
2023-11,18142369,3439814,14702555,18.960115,371955,226769.0
2023-12,17777981,3844699,13933282,21.626185,769273,439353.667
2024-01,17730778,3936744,13794034,22.202884,139248,426825.333
2024-02,17643431,4074704,13568727,23.094737,225307,377942.667
2024-03,17634089,4251156,13382933,24.107602,185794,183449.667
2024-04,17365822,4458204,12907618,25.672289,475315,295472.0
2024-05,17067787,4663407,12404380,27.322857,503238,388115.667
2024-06,16931422,4834565,12096857,28.553804,307523,428692.0
2024-07,16864592,5023328,11841264,29.786241,255593,355451.333
2024-08,16903960,5230835,11673125,30.944436,168139,243751.667
2024-09,16597762,5353619,11244143,32.255065,428982,284238.0
2024-10,16594491,5614015,10980476,33.830595,263667,286929.333
2024-11,16446606,5778209,10668397,35.133139,312079,334909.333
2024-12,16202462,6106743,10095719,37.690216,572678,382808.0
2025-01,16107430,6262337,9845093,38.878561,250626,378461.0
2025-02,15637910,6388338,9249572,40.85161,595521,472941.667
2025-03,15593688,6519484,9074204,41.80848,175368,340505.0
2025-04,15387448,6621744,8765704,43.033413,308500,359796.333
2025-05,15036361,6943402,8092959,46.17741,672745,385537.667
2025-06,13751799,8206923,5544876,59.678905,2548083,1176442.667
2025-07,13987870,8344853,5643017,59.657782,-98141,1040895.667
2025-08,13547243,8645559,4901684,63.817848,741333,1063758.333
2025-09,13178691,8793277,4385414,66.723448,516270,386487.333
2025-10,13122822,9070725,4052097,69.121756,333317,530306.667
2025-11,13019731,9228576,3791155,70.881464,260942,370176.333
2025-12,12671496,9698786,2972710,76.540181,818445,470901.333
2026-01,12248592,10161957,2086635,82.964287,886075,655154.0
2026-02,11998538,10239695,1758843,85.341189,327792,677437.333
2026-03,11981329,10443472,1537857,87.164554,220986,478284.333
2026-04,11814387,10486886,1327501,88.763691,210356,253044.667
2026-05,11609186,10605995,1003191,91.358645,324310,251884.0
2026-06,11446039,10818497,627542,94.517387,375649,303438.333
