period,year,month,operator,operator_source_label,connections,total_market,share_pct,source_sheet,source_row
2009-12,2009,12,Movistar,Movistar,262770,638787,41.135778,8.3.CO_EMP_TEC_MOVIL,9
2009-12,2009,12,Grupo Claro-VTR,Grupo Claro-VTR,130696,638787,20.460028,8.3.CO_EMP_TEC_MOVIL,9
2009-12,2009,12,Entel,Entel PCS,245321,638787,38.404194,8.3.CO_EMP_TEC_MOVIL,9
2010-01,2010,1,Movistar,Movistar,337122,729958,46.183753,8.3.CO_EMP_TEC_MOVIL,10
2010-01,2010,1,Grupo Claro-VTR,Grupo Claro-VTR,129017,729958,17.674579,8.3.CO_EMP_TEC_MOVIL,10
2010-01,2010,1,Entel,Entel PCS,263819,729958,36.141668,8.3.CO_EMP_TEC_MOVIL,10
2010-02,2010,2,Movistar,Movistar,352516,780957,45.138977,8.3.CO_EMP_TEC_MOVIL,11
2010-02,2010,2,Grupo Claro-VTR,Grupo Claro-VTR,138727,780957,17.763718,8.3.CO_EMP_TEC_MOVIL,11
2010-02,2010,2,Entel,Entel PCS,289714,780957,37.097305,8.3.CO_EMP_TEC_MOVIL,11
2010-03,2010,3,Movistar,Movistar,369838,860017,43.003569,8.3.CO_EMP_TEC_MOVIL,12
2010-03,2010,3,Grupo Claro-VTR,Grupo Claro-VTR,158570,860017,18.438008,8.3.CO_EMP_TEC_MOVIL,12
2010-03,2010,3,Entel,Entel PCS,331609,860017,38.558424,8.3.CO_EMP_TEC_MOVIL,12
2010-04,2010,4,Movistar,Movistar,390359,964118,40.488716,8.3.CO_EMP_TEC_MOVIL,13
2010-04,2010,4,Grupo Claro-VTR,Grupo Claro-VTR,179813,964118,18.650518,8.3.CO_EMP_TEC_MOVIL,13
2010-04,2010,4,Entel,Entel PCS,393946,964118,40.860766,8.3.CO_EMP_TEC_MOVIL,13
2010-05,2010,5,Movistar,Movistar,380872,1015940,37.489616,8.3.CO_EMP_TEC_MOVIL,14
2010-05,2010,5,Grupo Claro-VTR,Grupo Claro-VTR,195030,1015940,19.197,8.3.CO_EMP_TEC_MOVIL,14
2010-05,2010,5,Entel,Entel PCS,440038,1015940,43.313385,8.3.CO_EMP_TEC_MOVIL,14
2010-06,2010,6,Movistar,Movistar,394412,1053617,37.434096,8.3.CO_EMP_TEC_MOVIL,15
2010-06,2010,6,Grupo Claro-VTR,Grupo Claro-VTR,212768,1053617,20.194055,8.3.CO_EMP_TEC_MOVIL,15
2010-06,2010,6,Entel,Entel PCS,446437,1053617,42.371849,8.3.CO_EMP_TEC_MOVIL,15
2010-07,2010,7,Movistar,Movistar,417906,1091122,38.300575,8.3.CO_EMP_TEC_MOVIL,16
2010-07,2010,7,Grupo Claro-VTR,Grupo Claro-VTR,213863,1091122,19.600283,8.3.CO_EMP_TEC_MOVIL,16
2010-07,2010,7,Entel,Entel PCS,459353,1091122,42.099142,8.3.CO_EMP_TEC_MOVIL,16
2010-08,2010,8,Movistar,Movistar,436062,1133410,38.473456,8.3.CO_EMP_TEC_MOVIL,17
2010-08,2010,8,Grupo Claro-VTR,Grupo Claro-VTR,228678,1133410,20.176106,8.3.CO_EMP_TEC_MOVIL,17
2010-08,2010,8,Entel,Entel PCS,468670,1133410,41.350438,8.3.CO_EMP_TEC_MOVIL,17
2010-09,2010,9,Movistar,Movistar,455829,1184896,38.469959,8.3.CO_EMP_TEC_MOVIL,18
2010-09,2010,9,Grupo Claro-VTR,Grupo Claro-VTR,233018,1184896,19.665692,8.3.CO_EMP_TEC_MOVIL,18
2010-09,2010,9,Entel,Entel PCS,496049,1184896,41.864349,8.3.CO_EMP_TEC_MOVIL,18
2010-10,2010,10,Movistar,Movistar,481172,1265877,38.01096,8.3.CO_EMP_TEC_MOVIL,19
2010-10,2010,10,Grupo Claro-VTR,Grupo Claro-VTR,250851,1265877,19.81638,8.3.CO_EMP_TEC_MOVIL,19
2010-10,2010,10,Entel,Entel PCS,533854,1265877,42.17266,8.3.CO_EMP_TEC_MOVIL,19
2010-11,2010,11,Movistar,Movistar,508196,1331159,38.176957,8.3.CO_EMP_TEC_MOVIL,20
2010-11,2010,11,Grupo Claro-VTR,Grupo Claro-VTR,258662,1331159,19.431338,8.3.CO_EMP_TEC_MOVIL,20
2010-11,2010,11,Entel,Entel PCS,564301,1331159,42.391705,8.3.CO_EMP_TEC_MOVIL,20
2010-12,2010,12,Movistar,Movistar,550694,1445675,38.092517,8.3.CO_EMP_TEC_MOVIL,21
