period,year,month,contract_3g_4g_5g_connections,prepaid_3g_4g_5g_connections,total_3g_4g_5g_connections,contract_2g_3g_4g_5g_connections,prepaid_2g_3g_4g_5g_connections,total_2g_3g_4g_5g_connections,contract_share_3g_4g_5g_pct,prepaid_share_3g_4g_5g_pct,source_sheet,source_row
2014-01,2014,1,3963192,2679529,6642721,5174940,4812038,9986978,59.662178,40.337822,8.9.CO_MOVIL_PLAN,9
2014-02,2014,2,4024942,2658237,6683179,5203261,4690708,9893969,60.224962,39.775038,8.9.CO_MOVIL_PLAN,10
2014-03,2014,3,4191947,2829535,7021482,5339783,4832524,10172307,59.701741,40.298259,8.9.CO_MOVIL_PLAN,11
2014-04,2014,4,4363067,2845474,7208541,5405039,4656774,10061813,60.526353,39.473647,8.9.CO_MOVIL_PLAN,12
2014-05,2014,5,4515335,3092311,7607646,5499589,4902973,10402562,59.352591,40.647409,8.9.CO_MOVIL_PLAN,13
2014-06,2014,6,4665997,3155913,7821910,5542216,4883539,10425755,59.652911,40.347089,8.9.CO_MOVIL_PLAN,14
2014-07,2014,7,4631567,3162324,7793891,5428586,4685394,10113980,59.425607,40.574393,8.9.CO_MOVIL_PLAN,15
2014-08,2014,8,4696297,3249264,7945561,5407112,4659173,10066285,59.105921,40.894079,8.9.CO_MOVIL_PLAN,16
2014-09,2014,9,4784756,3666372,8451128,5438347,5170142,10608489,56.616774,43.383226,8.9.CO_MOVIL_PLAN,17
2014-10,2014,10,4815076,3832881,8647957,5389311,5277195,10666506,55.678769,44.321231,8.9.CO_MOVIL_PLAN,18
2014-11,2014,11,4901442,3886088,8787530,5406058,5211476,10617534,55.777243,44.222757,8.9.CO_MOVIL_PLAN,19
2014-12,2014,12,4920117,4235606,9155723,5394301,5505846,10900147,53.738159,46.261841,8.9.CO_MOVIL_PLAN,20
2015-01,2015,1,4781196,4329662,9110858,5198650,5473546,10672196,52.477999,47.522001,8.9.CO_MOVIL_PLAN,21
2015-02,2015,2,4836810,4411045,9247855,5221448,5482876,10704324,52.301966,47.698034,8.9.CO_MOVIL_PLAN,22
2015-03,2015,3,4901389,4582481,9483870,5261120,5608755,10869875,51.681318,48.318682,8.9.CO_MOVIL_PLAN,23
2015-04,2015,4,5233754,4404538,9638292,5573808,5387649,10961457,54.301675,45.698325,8.9.CO_MOVIL_PLAN,24
2015-05,2015,5,5325485,4428321,9753806,5648718,5367199,11015917,54.599046,45.400954,8.9.CO_MOVIL_PLAN,25
2015-06,2015,6,5340759,4263707,9604466,5657942,5060463,10718405,55.607037,44.392963,8.9.CO_MOVIL_PLAN,26
2015-07,2015,7,5538533,4414429,9952962,5852874,5170233,11023107,55.647083,44.352917,8.9.CO_MOVIL_PLAN,27
2015-08,2015,8,5570633,4363436,9934069,5913592,5159223,11072815,56.076045,43.923955,8.9.CO_MOVIL_PLAN,28
2015-09,2015,9,5772783,4399094,10171877,6128051,5125144,11253195,56.752387,43.247613,8.9.CO_MOVIL_PLAN,29
2015-10,2015,10,5853942,4432730,10286672,6176507,4975085,11151592,56.908026,43.091974,8.9.CO_MOVIL_PLAN,30
2015-11,2015,11,5900506,4384831,10285337,6232394,4878023,11110417,57.368135,42.631865,8.9.CO_MOVIL_PLAN,31
2015-12,2015,12,5786844,4496400,10283244,6549902,5004167,11554069,56.274499,43.725501,8.9.CO_MOVIL_PLAN,32
2016-01,2016,1,5898893,4523150,10422043,6620989,5062466,11683455,56.60016,43.39984,8.9.CO_MOVIL_PLAN,33
2016-02,2016,2,6036196,4422284,10458480,6725673,4917378,11643051,57.715806,42.284194,8.9.CO_MOVIL_PLAN,34
2016-03,2016,3,6224729,4424839,10649568,6902280,4895977,11798257,58.450531,41.549469,8.9.CO_MOVIL_PLAN,35
2016-04,2016,4,6327611,4382218,10709829,6995760,4814516,11810276,59.082279,40.917721,8.9.CO_MOVIL_PLAN,36
2016-05,2016,5,6499481,4542366,11041847,7133315,4969196,12102511,58.862263,41.137737,8.9.CO_MOVIL_PLAN,37
2016-06,2016,6,6624332,4758616,11382948,7210491,5167976,12378467,58.195223,41.804777,8.9.CO_MOVIL_PLAN,38
2016-07,2016,7,6807257,5014695,11821952,7369930,5396255,12766185,57.581498,42.418502,8.9.CO_MOVIL_PLAN,39
2016-08,2016,8,7005192,5252831,12258023,7551935,5614251,13166186,57.147812,42.852188,8.9.CO_MOVIL_PLAN,40
2016-09,2016,9,7136638,5312632,12449270,7665773,5656212,13321985,57.325755,42.674245,8.9.CO_MOVIL_PLAN,41
2016-10,2016,10,7250830,5260400,12511230,7766293,5588177,13354470,57.954574,42.045426,8.9.CO_MOVIL_PLAN,42
