period,year,month,connections_2g,connections_3g,connections_4g,connections_5g,mobile_connections_total,connections_3g_4g_5g,penetration_2g_per_100,penetration_3g_per_100,penetration_4g_per_100,penetration_5g_per_100,penetration_3g_4g_5g_per_100,penetration_total_per_100,source_sheet,source_row
2009-12,2009,12,3052045,638787,,,3690832,638787,18.012806,3.770045,,,3.770045,21.782851,8.1.CO_TEC_MOVIL,8
2010-01,2010,1,3025950,729958,,,3755908,729958,17.84359,4.304457,,,4.304457,22.148046,8.1.CO_TEC_MOVIL,9
2010-02,2010,2,2976434,780957,,,3757391,780957,17.536667,4.601272,,,4.601272,22.137939,8.1.CO_TEC_MOVIL,10
2010-03,2010,3,3032765,860017,,,3892782,860017,17.853371,5.062774,,,5.062774,22.916145,8.1.CO_TEC_MOVIL,11
2010-04,2010,4,3024333,964118,,,3988451,964118,17.788612,5.670778,,,5.670778,23.45939,8.1.CO_TEC_MOVIL,12
2010-05,2010,5,3212406,1015940,,,4228346,1015940,18.87879,5.970515,,,5.970515,24.849305,8.1.CO_TEC_MOVIL,13
2010-06,2010,6,3284863,1053617,,,4338480,1053617,19.28824,6.186686,,,6.186686,25.474926,8.1.CO_TEC_MOVIL,14
2010-07,2010,7,3445085,1091122,,,4536207,1091122,20.211901,6.401482,,,6.401482,26.613383,8.1.CO_TEC_MOVIL,15
2010-08,2010,8,3361212,1133410,,,4494622,1133410,19.703136,6.643952,,,6.643952,26.347088,8.1.CO_TEC_MOVIL,16
2010-09,2010,9,3367676,1184896,,,4552572,1184896,19.724331,6.939884,,,6.939884,26.664215,8.1.CO_TEC_MOVIL,17
2010-10,2010,10,3527081,1265877,,,4792958,1265877,20.640501,7.40792,,,7.40792,28.048421,8.1.CO_TEC_MOVIL,18
2010-11,2010,11,3617632,1331159,,,4948791,1331159,21.152531,7.783374,,,7.783374,28.935905,8.1.CO_TEC_MOVIL,19
2010-12,2010,12,3809777,1445675,,,5255452,1445675,22.257222,8.445825,,,8.445825,30.703047,8.1.CO_TEC_MOVIL,20
2011-01,2011,1,3540683,1780975,,,5321658,1780975,20.667526,10.395832,,,10.395832,31.063358,8.1.CO_TEC_MOVIL,21
2011-02,2011,2,3482404,1780671,,,5263075,1780671,20.310046,10.385214,,,10.385214,30.69526,8.1.CO_TEC_MOVIL,22
2011-03,2011,3,3509356,1918215,,,5427571,1918215,20.449837,11.177887,,,11.177887,31.627723,8.1.CO_TEC_MOVIL,23
2011-04,2011,4,3507393,2019619,,,5527012,2019619,20.421038,11.758796,,,11.758796,32.179834,8.1.CO_TEC_MOVIL,24
2011-05,2011,5,3533497,2111901,,,5645398,2111901,20.555563,12.285652,,,12.285652,32.841215,8.1.CO_TEC_MOVIL,25
2011-06,2011,6,3750297,2241188,,,5991485,2241188,21.798264,13.026704,,,13.026704,34.824968,8.1.CO_TEC_MOVIL,26
2011-07,2011,7,3949617,2444064,,,6393681,2444064,22.937341,14.193865,,,14.193865,37.131206,8.1.CO_TEC_MOVIL,27
2011-08,2011,8,4201075,2596941,,,6798016,2596941,24.377023,15.068927,,,15.068927,39.44595,8.1.CO_TEC_MOVIL,28
2011-09,2011,9,4288244,2679630,,,6967874,2679630,24.861778,15.535582,,,15.535582,40.39736,8.1.CO_TEC_MOVIL,29
2011-10,2011,10,4347185,2764399,,,7111584,2764399,25.182197,16.013498,,,16.013498,41.195695,8.1.CO_TEC_MOVIL,30
2011-11,2011,11,4394432,2744786,,,7139218,2744786,25.43439,15.886457,,,15.886457,41.320847,8.1.CO_TEC_MOVIL,31
2011-12,2011,12,4802719,3154995,,,7957714,3154995,27.774045,18.245284,,,18.245284,46.01933,8.1.CO_TEC_MOVIL,32
2012-01,2012,1,4439098,3274151,,,7713249,3274151,25.649355,18.918227,,,18.918227,44.567582,8.1.CO_TEC_MOVIL,33
2012-02,2012,2,4298723,3353946,,,7652669,3353946,24.817114,19.362788,,,19.362788,44.179902,8.1.CO_TEC_MOVIL,34
2012-03,2012,3,4396975,3619463,,,8016438,3619463,25.362742,20.877878,,,20.877878,46.24062,8.1.CO_TEC_MOVIL,35
2012-04,2012,4,4341453,3694300,,,8035753,3694300,25.021195,21.291443,,,21.291443,46.312638,8.1.CO_TEC_MOVIL,36
2012-05,2012,5,4202236,3835712,,,8037948,3835712,24.198274,22.087672,,,22.087672,46.285946,8.1.CO_TEC_MOVIL,37
2012-06,2012,6,4117626,3946142,,,8063768,3946142,23.690935,22.704295,,,22.704295,46.39523,8.1.CO_TEC_MOVIL,38
2012-07,2012,7,4172032,4139993,,,8312025,4139993,23.983612,23.79943,,,23.79943,47.783042,8.1.CO_TEC_MOVIL,39
2012-08,2012,8,4322668,4347399,,,8670067,4347399,24.828518,24.970567,,,24.970567,49.799085,8.1.CO_TEC_MOVIL,40
2012-09,2012,9,4301600,4409493,,,8711093,4409493,24.686595,25.305786,,,25.305786,49.992382,8.1.CO_TEC_MOVIL,41
2012-10,2012,10,3992109,4494650,,,8486759,4494650,22.891073,25.772683,,,25.772683,48.663756,8.1.CO_TEC_MOVIL,42
2012-11,2012,11,3942702,4576134,,,8518836,4576134,22.588667,26.217747,,,26.217747,48.806414,8.1.CO_TEC_MOVIL,43
2012-12,2012,12,3988594,4983888,,,8972482,4983888,22.832301,28.52976,,,28.52976,51.36206,8.1.CO_TEC_MOVIL,44
2013-01,2013,1,4066613,5048537,,,9115150,5048537,23.258848,28.874927,,,28.874927,52.133775,8.1.CO_TEC_MOVIL,45
2013-02,2013,2,3855775,5090041,,,8945816,5090041,22.033975,29.087235,,,29.087235,51.12121,8.1.CO_TEC_MOVIL,46
2013-03,2013,3,3757936,5268103,,,9026039,5268103,21.456392,30.078874,,,30.078874,51.535266,8.1.CO_TEC_MOVIL,47
2013-04,2013,4,3748317,5370918,,,9119235,5370918,21.383072,30.639545,,,30.639545,52.022617,8.1.CO_TEC_MOVIL,48
2013-05,2013,5,3786898,5469374,,,9256272,5469374,21.584608,31.174406,,,31.174406,52.759014,8.1.CO_TEC_MOVIL,49
2013-06,2013,6,3840570,5447665,,,9288235,5447665,21.871742,31.02402,,,31.02402,52.895762,8.1.CO_TEC_MOVIL,50
2013-07,2013,7,3719032,5614971,,,9334003,5614971,21.16143,31.949393,,,31.949393,53.110823,8.1.CO_TEC_MOVIL,51
2013-08,2013,8,3705492,5679494,,,9384986,5679494,21.066323,32.288844,,,32.288844,53.355167,8.1.CO_TEC_MOVIL,52
2013-09,2013,9,3673199,5645778,,,9318977,5645778,20.864854,32.069685,,,32.069685,52.93454,8.1.CO_TEC_MOVIL,53
2013-10,2013,10,3474618,5876547,,,9351165,5876547,19.719974,33.35197,,,33.35197,53.071944,8.1.CO_TEC_MOVIL,54
