period,year,month,mobile_traffic_downlink_tb,mobile_traffic_uplink_tb,mobile_traffic_total_tb,annual_growth_pct,source_sheet,source_row
2017-06,2017,6,49031.050243,4110.082917,53141.13316,,9.1.TRAF_SENT,11
2017-07,2017,7,54144.662105,4576.336082,58720.998187,,9.1.TRAF_SENT,12
2017-08,2017,8,59053.884418,4926.590468,63980.474887,,9.1.TRAF_SENT,13
2017-09,2017,9,60615.603425,5073.856215,65689.45964,,9.1.TRAF_SENT,14
2017-10,2017,10,62912.282247,5241.949388,68154.231634,,9.1.TRAF_SENT,15
2017-11,2017,11,65116.652349,5430.773666,70547.426015,,9.1.TRAF_SENT,16
2017-12,2017,12,73085.593257,5979.614936,79065.208194,,9.1.TRAF_SENT,17
2018-01,2018,1,82305.175914,6615.846405,88921.022318,,9.1.TRAF_SENT,18
2018-02,2018,2,80168.923336,6368.904282,86537.827618,,9.1.TRAF_SENT,19
2018-03,2018,3,90017.001152,6987.156485,97004.157638,,9.1.TRAF_SENT,20
2018-04,2018,4,88889.971063,6928.309461,95818.280524,,9.1.TRAF_SENT,21
2018-05,2018,5,97402.040142,7732.527878,105134.56802,,9.1.TRAF_SENT,22
2018-06,2018,6,98551.021103,7120.622127,105671.64323,98.850941,9.1.TRAF_SENT,23
2018-07,2018,7,107733.177813,7900.36284,115633.540653,96.920257,9.1.TRAF_SENT,24
2018-08,2018,8,109511.382171,8593.744371,118105.126542,84.595577,9.1.TRAF_SENT,25
2018-09,2018,9,114524.118536,8898.102066,123422.220603,87.887404,9.1.TRAF_SENT,26
2018-10,2018,10,122756.478801,9706.982832,132463.461633,94.358382,9.1.TRAF_SENT,27
2018-11,2018,11,122842.40728,9785.472786,132627.880066,87.998184,9.1.TRAF_SENT,28
2018-12,2018,12,134504.781123,10675.62814,145180.409262,83.621105,9.1.TRAF_SENT,29
2019-01,2019,1,135546.445452,10559.493053,146105.938505,64.309783,9.1.TRAF_SENT,30
2019-02,2019,2,143259.108086,11096.64718,154355.755266,78.367957,9.1.TRAF_SENT,31
2019-03,2019,3,148265.340471,11659.357119,159924.69759,64.863756,9.1.TRAF_SENT,32
2019-04,2019,4,150224.028527,11716.275854,161940.304381,69.007734,9.1.TRAF_SENT,33
2019-05,2019,5,164564.9455,12874.42761,177439.373109,68.773579,9.1.TRAF_SENT,34
2019-06,2019,6,164718.999753,12499.223655,177218.223408,67.706509,9.1.TRAF_SENT,35
