base_period,end_period,operator,connections_base,connections_end,connections_growth_pct,traffic_tb_base,traffic_tb_end,traffic_growth_pct,connection_share_end_pct,traffic_share_end_pct,traffic_minus_connections_growth_pp
2024-06,2025-06,Entel,7895199,8046030,1.910414,212678.061212,231974.083193,9.072878,35.475638,38.346259,7.162464
2024-06,2025-06,Grupo Claro-VTR,4259207,4494642,5.527672,83366.916577,115853.386014,38.968059,19.817263,19.151035,33.440387
2024-06,2025-06,Movistar,4547918,4314477,-5.13292,91561.571846,99785.815806,8.9822,19.0229,16.495001,14.115121
2024-06,2025-06,WOM,5734607,5629407,-1.834476,150443.956796,155619.306064,3.440051,24.820539,25.724504,5.274527
2025-06,2026-06,Entel,8046030,7941760,-1.295919,231974.083193,272450.605723,17.448726,35.155117,39.135969,18.744645
2025-06,2026-06,Grupo Claro-VTR,4494642,4746510,5.603739,115853.386014,129675.564615,11.930751,21.010974,18.627152,6.327012
2025-06,2026-06,Movistar,4314477,4175789,-3.21448,99785.815806,113342.591433,13.585874,18.484612,16.281014,16.800354
2025-06,2026-06,WOM,5629407,5484773,-2.569258,155619.306064,177511.527359,14.067805,24.278981,25.498514,16.637064
2025-12,2026-06,Entel,8017997,7941760,-0.950824,254356.384074,272450.605723,7.113728,35.155117,39.135969,8.064552
2025-12,2026-06,Grupo Claro-VTR,4592982,4746510,3.342665,120790.017603,129675.564615,7.356193,21.010974,18.627152,4.013528
2025-12,2026-06,Movistar,4324431,4175789,-3.437261,107431.455085,113342.591433,5.50224,18.484612,16.281014,8.939501
2025-12,2026-06,WOM,5571024,5484773,-1.548207,166917.228789,177511.527359,6.347037,24.278981,25.498514,7.895244
