period,prepaid_connections_3g_4g_5g,postpaid_connections_3g_4g_5g,prepaid_traffic_tb,postpaid_traffic_tb,prepaid_gb_per_connection,postpaid_gb_per_connection,postpaid_to_prepaid_usage_ratio,conversion_note
2017-06,5766817,8300264,7073.633118,46067.500042,1.2266,5.5501,4.5248,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2017-07,5918570,8459567,7036.791665,51684.206522,1.1889,6.1096,5.1387,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2017-08,6149229,8617242,8085.046538,55895.428349,1.3148,6.4865,4.9334,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2017-09,6186189,8699940,9110.73895,56578.72069,1.4728,6.5033,4.4158,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2017-10,6248845,9123598,8505.112485,59649.119149,1.3611,6.5379,4.8035,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2017-11,6549739,9275230,8767.442288,61779.983728,1.3386,6.6607,4.9759,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2017-12,6770853,9552135,9876.849373,69188.35882,1.4587,7.2432,4.9654,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-01,6703072,9519689,11580.764479,77340.25784,1.7277,8.1242,4.7024,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-02,6868224,9699526,11041.803686,75496.023933,1.6077,7.7835,4.8415,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-03,6790844,10141109,11438.076956,85566.080681,1.6843,8.4375,5.0094,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-04,6879750,10274854,11177.739376,84640.541148,1.6247,8.2376,5.0702,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-05,6950516,10386668,11870.769728,93263.798292,1.7079,8.9792,5.2574,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-06,6921425,10486501,12881.64552,92789.997709,1.8611,8.8485,4.7544,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-07,6864694,10607907,16460.694911,99172.845742,2.3979,9.349,3.8988,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-08,6986341,10684029,12755.822133,105349.304409,1.8258,9.8604,5.4005,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-09,6990811,10917977,13105.335,110316.885603,1.8747,10.1042,5.3899,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-10,6790546,11193567,13774.565891,118688.895742,2.0285,10.6033,5.2272,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-11,6902782,11302063,13632.384702,118995.495363,1.9749,10.5287,5.3312,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
2018-12,6714207,11394698,14642.380373,130538.02889,2.1808,11.456,5.2531,1 TB = 1000 GB; descriptive monthly traffic divided by active 3G+4G+5G connections
