period,year,month,operator,operator_source_label,traffic_tb,total_market_tb,share_pct,source_sheet,source_row
2017-06,2017,6,Movistar,Movistar,16991.328059,53141.13316,31.973966,9.5.TRAF_EMP,11
2017-06,2017,6,Grupo Claro-VTR,Grupo Claro-VTR,10355.59474,53141.13316,19.486966,9.5.TRAF_EMP,11
2017-06,2017,6,Entel,ENTEL,12169.698377,53141.13316,22.900713,9.5.TRAF_EMP,11
2017-06,2017,6,Netline,Netline,1.255543,53141.13316,0.002363,9.5.TRAF_EMP,11
2017-06,2017,6,WOM,WOM,13623.256441,53141.13316,25.635992,9.5.TRAF_EMP,11
2017-07,2017,7,Movistar,Movistar,19117.631311,58720.998187,32.556721,9.5.TRAF_EMP,12
2017-07,2017,7,Grupo Claro-VTR,Grupo Claro-VTR,10590.509282,58720.998187,18.035302,9.5.TRAF_EMP,12
2017-07,2017,7,Entel,ENTEL,13631.780342,58720.998187,23.21449,9.5.TRAF_EMP,12
2017-07,2017,7,Netline,Netline,1.389519,58720.998187,0.002366,9.5.TRAF_EMP,12
2017-07,2017,7,WOM,WOM,15379.687734,58720.998187,26.191121,9.5.TRAF_EMP,12
2017-08,2017,8,Movistar,Movistar,19178.951427,63980.474887,29.976257,9.5.TRAF_EMP,13
2017-08,2017,8,Grupo Claro-VTR,Grupo Claro-VTR,13540.732112,63980.474887,21.163851,9.5.TRAF_EMP,13
2017-08,2017,8,Entel,ENTEL,15642.53555,63980.474887,24.448921,9.5.TRAF_EMP,13
2017-08,2017,8,Netline,Netline,1.434562,63980.474887,0.002242,9.5.TRAF_EMP,13
2017-08,2017,8,WOM,WOM,15616.821235,63980.474887,24.40873,9.5.TRAF_EMP,13
2017-09,2017,9,Movistar,Movistar,18982.782989,65689.45964,28.897761,9.5.TRAF_EMP,14
2017-09,2017,9,Grupo Claro-VTR,Grupo Claro-VTR,12326.491938,65689.45964,18.764794,9.5.TRAF_EMP,14
2017-09,2017,9,Entel,ENTEL,17424.137738,65689.45964,26.525013,9.5.TRAF_EMP,14
2017-09,2017,9,Netline,Netline,1.566144,65689.45964,0.002384,9.5.TRAF_EMP,14
2017-09,2017,9,WOM,WOM,16954.48083,65689.45964,25.810048,9.5.TRAF_EMP,14
2017-10,2017,10,Movistar,Movistar,20148.384178,68154.231634,29.562925,9.5.TRAF_EMP,15
2017-10,2017,10,Grupo Claro-VTR,Grupo Claro-VTR,13949.986729,68154.231634,20.468262,9.5.TRAF_EMP,15
2017-10,2017,10,Entel,ENTEL,15895.41542,68154.231634,23.322712,9.5.TRAF_EMP,15
2017-10,2017,10,Netline,Netline,1.520405,68154.231634,0.002231,9.5.TRAF_EMP,15
2017-10,2017,10,WOM,WOM,18158.924902,68154.231634,26.64387,9.5.TRAF_EMP,15
2017-11,2017,11,Movistar,Movistar,19296.604885,70547.426015,27.35267,9.5.TRAF_EMP,16
2017-11,2017,11,Grupo Claro-VTR,Grupo Claro-VTR,14608.938379,70547.426015,20.707968,9.5.TRAF_EMP,16
2017-11,2017,11,Entel,ENTEL,17526.7628,70547.426015,24.843944,9.5.TRAF_EMP,16
2017-11,2017,11,Netline,Netline,1.491599,70547.426015,0.002114,9.5.TRAF_EMP,16
2017-11,2017,11,WOM,WOM,19113.628352,70547.426015,27.093304,9.5.TRAF_EMP,16
2017-12,2017,12,Movistar,Movistar,21995.404966,79065.208194,27.819322,9.5.TRAF_EMP,17
2017-12,2017,12,Grupo Claro-VTR,Grupo Claro-VTR,15572.432648,79065.208194,19.695683,9.5.TRAF_EMP,17
2017-12,2017,12,Entel,ENTEL,19967.297516,79065.208194,25.254215,9.5.TRAF_EMP,17
2017-12,2017,12,Netline,Netline,1.367644,79065.208194,0.00173,9.5.TRAF_EMP,17
2017-12,2017,12,WOM,WOM,21528.70542,79065.208194,27.22905,9.5.TRAF_EMP,17
2018-01,2018,1,Movistar,Movistar,23836.978863,88921.022318,26.80691,9.5.TRAF_EMP,18
2018-01,2018,1,Grupo Claro-VTR,Grupo Claro-VTR,19268.283476,88921.022318,21.668986,9.5.TRAF_EMP,18
2018-01,2018,1,Entel,ENTEL,22256.298969,88921.022318,25.029288,9.5.TRAF_EMP,18
2018-01,2018,1,Netline,Netline,1.406336,88921.022318,0.001582,9.5.TRAF_EMP,18
2018-01,2018,1,WOM,WOM,23558.054675,88921.022318,26.493234,9.5.TRAF_EMP,18
2018-02,2018,2,Movistar,Movistar,23502.99869,86537.827618,27.15922,9.5.TRAF_EMP,19
2018-02,2018,2,Grupo Claro-VTR,Grupo Claro-VTR,18841.461264,86537.827618,21.772515,9.5.TRAF_EMP,19
2018-02,2018,2,Entel,ENTEL,21578.855146,86537.827618,24.935749,9.5.TRAF_EMP,19
2018-02,2018,2,Netline,Netline,1.343699,86537.827618,0.001553,9.5.TRAF_EMP,19
2018-02,2018,2,WOM,WOM,22613.168819,86537.827618,26.130964,9.5.TRAF_EMP,19
2018-03,2018,3,Movistar,Movistar,26134.372148,97004.157638,26.941497,9.5.TRAF_EMP,20
2018-03,2018,3,Grupo Claro-VTR,Grupo Claro-VTR,20908.979472,97004.157638,21.554725,9.5.TRAF_EMP,20
2018-03,2018,3,Entel,ENTEL,23631.274759,97004.157638,24.361095,9.5.TRAF_EMP,20
2018-03,2018,3,Netline,Netline,1.301146,97004.157638,0.001341,9.5.TRAF_EMP,20
2018-03,2018,3,WOM,WOM,26328.230112,97004.157638,27.141342,9.5.TRAF_EMP,20
2018-04,2018,4,Movistar,Movistar,26610.300647,95818.280524,27.771632,9.5.TRAF_EMP,21
2018-04,2018,4,Grupo Claro-VTR,Grupo Claro-VTR,19919.099332,95818.280524,20.788412,9.5.TRAF_EMP,21
2018-04,2018,4,Entel,ENTEL,22647.308165,95818.280524,23.635686,9.5.TRAF_EMP,21
2018-04,2018,4,Netline,Netline,1.198741,95818.280524,0.001251,9.5.TRAF_EMP,21
2018-04,2018,4,WOM,WOM,26640.373638,95818.280524,27.803018,9.5.TRAF_EMP,21
2018-05,2018,5,Movistar,Movistar,29478.824934,105134.56802,28.039136,9.5.TRAF_EMP,22
2018-05,2018,5,Grupo Claro-VTR,Grupo Claro-VTR,21097.415276,105134.56802,20.067059,9.5.TRAF_EMP,22
2018-05,2018,5,Entel,ENTEL,25129.455467,105134.56802,23.902182,9.5.TRAF_EMP,22
2018-05,2018,5,Netline,Netline,1.016178,105134.56802,0.000967,9.5.TRAF_EMP,22
2018-05,2018,5,WOM,WOM,29427.856164,105134.56802,27.990657,9.5.TRAF_EMP,22
2018-06,2018,6,Movistar,Movistar,30058.409904,105671.64323,28.445105,9.5.TRAF_EMP,23
2018-06,2018,6,Grupo Claro-VTR,Grupo Claro-VTR,18274.709756,105671.64323,17.293864,9.5.TRAF_EMP,23
2018-06,2018,6,Entel,ENTEL,28053.051139,105671.64323,26.547379,9.5.TRAF_EMP,23
2018-06,2018,6,Netline,Netline,0.983429,105671.64323,0.000931,9.5.TRAF_EMP,23
2018-06,2018,6,WOM,WOM,29284.489001,105671.64323,27.712722,9.5.TRAF_EMP,23
2018-07,2018,7,Movistar,Movistar,33312.130029,115633.540653,28.808363,9.5.TRAF_EMP,24
2018-07,2018,7,Grupo Claro-VTR,Grupo Claro-VTR,19848.34776,115633.540653,17.164871,9.5.TRAF_EMP,24
2018-07,2018,7,Entel,ENTEL,30118.045534,115633.540653,26.046115,9.5.TRAF_EMP,24
2018-07,2018,7,Netline,Netline,0.985881,115633.540653,0.000853,9.5.TRAF_EMP,24
2018-07,2018,7,WOM,WOM,32354.03145,115633.540653,27.979798,9.5.TRAF_EMP,24
2018-08,2018,8,Movistar,Movistar,33384.189796,118105.126542,28.266504,9.5.TRAF_EMP,25
2018-08,2018,8,Grupo Claro-VTR,Grupo Claro-VTR,19885.339048,118105.126542,16.836982,9.5.TRAF_EMP,25
2018-08,2018,8,Entel,ENTEL,30691.572191,118105.126542,25.986655,9.5.TRAF_EMP,25
2018-08,2018,8,Netline,Netline,0.815444,118105.126542,0.00069,9.5.TRAF_EMP,25
2018-08,2018,8,WOM,WOM,34143.210064,118105.126542,28.909169,9.5.TRAF_EMP,25
2018-09,2018,9,Movistar,Movistar,33495.526262,123422.220603,27.138976,9.5.TRAF_EMP,26
2018-09,2018,9,Grupo Claro-VTR,Grupo Claro-VTR,20935.807077,123422.220603,16.962754,9.5.TRAF_EMP,26
2018-09,2018,9,Entel,ENTEL,34126.853515,123422.220603,27.650494,9.5.TRAF_EMP,26
2018-09,2018,9,Netline,Netline,0.839022,123422.220603,0.00068,9.5.TRAF_EMP,26
2018-09,2018,9,WOM,WOM,34863.194727,123422.220603,28.247097,9.5.TRAF_EMP,26
2018-10,2018,10,Movistar,Movistar,36733.553707,132463.461633,27.731084,9.5.TRAF_EMP,27
2018-10,2018,10,Grupo Claro-VTR,Grupo Claro-VTR,21770.194638,132463.461633,16.434868,9.5.TRAF_EMP,27
2018-10,2018,10,Entel,ENTEL,36895.301922,132463.461633,27.853192,9.5.TRAF_EMP,27
2018-10,2018,10,Netline,Netline,0.84132,132463.461633,0.000635,9.5.TRAF_EMP,27
2018-10,2018,10,WOM,WOM,37063.570045,132463.461633,27.980222,9.5.TRAF_EMP,27
2018-11,2018,11,Movistar,Movistar,37430.968007,132627.880066,28.222549,9.5.TRAF_EMP,28
2018-11,2018,11,Grupo Claro-VTR,Grupo Claro-VTR,22311.512597,132627.880066,16.822641,9.5.TRAF_EMP,28
2018-11,2018,11,Entel,ENTEL,35960.233438,132627.880066,27.113631,9.5.TRAF_EMP,28
2018-11,2018,11,Netline,Netline,0.704401,132627.880066,0.000531,9.5.TRAF_EMP,28
2018-11,2018,11,WOM,WOM,36924.461623,132627.880066,27.840648,9.5.TRAF_EMP,28
2018-12,2018,12,Movistar,Movistar,41002.34217,145180.409262,28.242338,9.5.TRAF_EMP,29
2018-12,2018,12,Grupo Claro-VTR,Grupo Claro-VTR,24097.705329,145180.409262,16.598455,9.5.TRAF_EMP,29
2018-12,2018,12,Entel,ENTEL,40208.960126,145180.409262,27.695858,9.5.TRAF_EMP,29
2018-12,2018,12,Netline,Netline,0.63113,145180.409262,0.000435,9.5.TRAF_EMP,29
2018-12,2018,12,WOM,WOM,39870.770507,145180.409262,27.462914,9.5.TRAF_EMP,29
2019-01,2019,1,Movistar,Movistar,41875.692286,146105.938505,28.661184,9.5.TRAF_EMP,30
2019-01,2019,1,Grupo Claro-VTR,Grupo Claro-VTR,24312.973247,146105.938505,16.640647,9.5.TRAF_EMP,30
2019-01,2019,1,Entel,ENTEL,37542.25507,146105.938505,25.695229,9.5.TRAF_EMP,30
2019-01,2019,1,Netline,Netline,0.603613,146105.938505,0.000413,9.5.TRAF_EMP,30
2019-01,2019,1,WOM,WOM,42374.41429,146105.938505,29.002527,9.5.TRAF_EMP,30
2019-02,2019,2,Movistar,Movistar,42957.436944,154355.755266,27.830149,9.5.TRAF_EMP,31
2019-02,2019,2,Grupo Claro-VTR,Grupo Claro-VTR,25797.296164,154355.755266,16.712883,9.5.TRAF_EMP,31
2019-02,2019,2,Entel,ENTEL,45641.514086,154355.755266,29.569039,9.5.TRAF_EMP,31
2019-02,2019,2,Netline,Netline,0.56777,154355.755266,0.000368,9.5.TRAF_EMP,31
2019-02,2019,2,WOM,WOM,39958.940301,154355.755266,25.887561,9.5.TRAF_EMP,31
2019-03,2019,3,Movistar,Movistar,41256.322027,159924.69759,25.797343,9.5.TRAF_EMP,32
2019-03,2019,3,Grupo Claro-VTR,Grupo Claro-VTR,25039.287033,159924.69759,15.656923,9.5.TRAF_EMP,32
2019-03,2019,3,Entel,ENTEL,50270.56021,159924.69759,31.433894,9.5.TRAF_EMP,32
2019-03,2019,3,Netline,Netline,0.615502,159924.69759,0.000385,9.5.TRAF_EMP,32
2019-03,2019,3,WOM,WOM,43357.912818,159924.69759,27.111455,9.5.TRAF_EMP,32
2019-04,2019,4,Movistar,Movistar,41295.464354,161940.304381,25.500424,9.5.TRAF_EMP,33
2019-04,2019,4,Grupo Claro-VTR,Grupo Claro-VTR,24767.763546,161940.304381,15.294379,9.5.TRAF_EMP,33
2019-04,2019,4,Entel,ENTEL,52627.36926,161940.304381,32.498006,9.5.TRAF_EMP,33
2019-04,2019,4,Netline,Netline,0.552557,161940.304381,0.000341,9.5.TRAF_EMP,33
2019-04,2019,4,WOM,WOM,43249.154664,161940.304381,26.70685,9.5.TRAF_EMP,33
2019-05,2019,5,Movistar,Movistar,42761.453389,177439.373109,24.099191,9.5.TRAF_EMP,34
