period,year,month,residential_postpaid_traffic_tb,commercial_postpaid_traffic_tb,postpaid_traffic_tb,prepaid_traffic_tb,total_traffic_tb,prepaid_traffic_share_pct,postpaid_traffic_share_pct,source_sheet,source_row
2017-06,2017,6,41460.707899,4606.792142,46067.500042,7073.633118,53141.13316,13.311032,86.688968,9.3.TRAF_CLI.PLAN,12
2017-07,2017,7,46538.127039,5146.079483,51684.206522,7036.791665,58720.998187,11.983433,88.016567,9.3.TRAF_CLI.PLAN,13
2017-08,2017,8,50555.684471,5339.743878,55895.428349,8085.046538,63980.474887,12.63674,87.36326,9.3.TRAF_CLI.PLAN,14
2017-09,2017,9,51061.196963,5517.523726,56578.72069,9110.73895,65689.45964,13.869408,86.130592,9.3.TRAF_CLI.PLAN,15
2017-10,2017,10,54057.217607,5591.901542,59649.119149,8505.112485,68154.231634,12.479214,87.520786,9.3.TRAF_CLI.PLAN,16
2017-11,2017,11,55975.456341,5804.527387,61779.983728,8767.442288,70547.426015,12.427728,87.572272,9.3.TRAF_CLI.PLAN,17
2017-12,2017,12,62584.523503,6603.835318,69188.35882,9876.849373,79065.208194,12.49203,87.50797,9.3.TRAF_CLI.PLAN,18
2018-01,2018,1,70170.380729,7169.877111,77340.25784,11580.764479,88921.022318,13.023652,86.976348,9.3.TRAF_CLI.PLAN,19
2018-02,2018,2,68398.611091,7097.412842,75496.023933,11041.803686,86537.827618,12.759511,87.240489,9.3.TRAF_CLI.PLAN,20
2018-03,2018,3,77955.301591,7610.77909,85566.080681,11438.076956,97004.157638,11.791327,88.208673,9.3.TRAF_CLI.PLAN,21
2018-04,2018,4,76753.885728,7886.65542,84640.541148,11177.739376,95818.280524,11.66556,88.33444,9.3.TRAF_CLI.PLAN,22
2018-05,2018,5,84485.291131,8778.507161,93263.798292,11870.769728,105134.56802,11.291024,88.708976,9.3.TRAF_CLI.PLAN,23
2018-06,2018,6,83638.931598,9151.066111,92789.997709,12881.64552,105671.64323,12.190258,87.809742,9.3.TRAF_CLI.PLAN,24
2018-07,2018,7,89546.732539,9626.113204,99172.845742,16460.694911,115633.540653,14.235225,85.764775,9.3.TRAF_CLI.PLAN,25
2018-08,2018,8,95340.126279,10009.178131,105349.304409,12755.822133,118105.126542,10.800397,89.199603,9.3.TRAF_CLI.PLAN,26
2018-09,2018,9,99906.370413,10410.51519,110316.885603,13105.335,123422.220603,10.618295,89.381705,9.3.TRAF_CLI.PLAN,27
2018-10,2018,10,107484.268796,11204.626946,118688.895742,13774.565891,132463.461633,10.398766,89.601234,9.3.TRAF_CLI.PLAN,28
2018-11,2018,11,107564.693955,11430.801408,118995.495363,13632.384702,132627.880066,10.278672,89.721328,9.3.TRAF_CLI.PLAN,29
2018-12,2018,12,118635.61502,11902.41387,130538.02889,14642.380373,145180.409262,10.085645,89.914355,9.3.TRAF_CLI.PLAN,30
2019-01,2019,1,119076.258526,12507.732932,131583.991458,14521.947047,146105.938505,9.939327,90.060673,9.3.TRAF_CLI.PLAN,31
2019-02,2019,2,122610.108213,12841.67504,135451.783253,18903.972013,154355.755266,12.247015,87.752985,9.3.TRAF_CLI.PLAN,32
2019-03,2019,3,129075.658736,13720.023316,142795.682052,17129.015538,159924.69759,10.710676,89.289324,9.3.TRAF_CLI.PLAN,33
2019-04,2019,4,131613.359867,13661.080387,145274.440255,16665.864127,161940.304381,10.291363,89.708637,9.3.TRAF_CLI.PLAN,34
2019-05,2019,5,144212.657404,15189.392767,159402.050171,18037.322938,177439.373109,10.165344,89.834656,9.3.TRAF_CLI.PLAN,35
2019-06,2019,6,143798.105655,15148.670938,158946.776593,18271.446815,177218.223408,10.31014,89.68986,9.3.TRAF_CLI.PLAN,36
2019-07,2019,7,132069.200594,16963.837527,149033.038121,23002.900056,172035.938177,13.370985,86.629015,9.3.TRAF_CLI.PLAN,37
2019-08,2019,8,154781.175842,17104.723483,171885.899325,21928.278935,193814.17826,11.314074,88.685926,9.3.TRAF_CLI.PLAN,38
2019-09,2019,9,151775.908523,17414.077028,169189.985551,23308.728647,192498.714198,12.108511,87.891489,9.3.TRAF_CLI.PLAN,39
2019-10,2019,10,163076.812805,18951.988046,182028.800852,26756.53443,208785.335281,12.815332,87.184668,9.3.TRAF_CLI.PLAN,40
2019-11,2019,11,145249.681452,17127.11582,162376.797272,24780.676611,187157.473882,13.240549,86.759451,9.3.TRAF_CLI.PLAN,41
2019-12,2019,12,150266.720883,18272.857115,168539.577998,27668.290485,196207.868484,14.101519,85.898481,9.3.TRAF_CLI.PLAN,42
2020-01,2020,1,158743.94318,19411.245271,178155.188451,28086.186228,206241.374679,13.618114,86.381886,9.3.TRAF_CLI.PLAN,43
2020-02,2020,2,151884.636925,19323.264558,171207.901483,32321.984351,203529.885834,15.880707,84.119293,9.3.TRAF_CLI.PLAN,44
2020-03,2020,3,175508.606061,22520.66909,198029.275151,39810.937159,237840.21231,16.738522,83.261478,9.3.TRAF_CLI.PLAN,45
2020-04,2020,4,171955.787348,24114.010166,196069.797514,48800.522782,244870.320296,19.929129,80.070871,9.3.TRAF_CLI.PLAN,46
2020-05,2020,5,168979.397791,24916.823557,193896.221348,48993.97685,242890.198199,20.171245,79.828755,9.3.TRAF_CLI.PLAN,47
2020-06,2020,6,165287.232775,25588.781749,190876.014524,49416.18231,240292.196833,20.565038,79.434962,9.3.TRAF_CLI.PLAN,48
2020-07,2020,7,169794.458164,26425.561025,196220.019188,52274.173846,248494.193034,21.036376,78.963624,9.3.TRAF_CLI.PLAN,49
2020-08,2020,8,175339.467574,25952.585635,201292.053209,50925.465568,252217.518778,20.19109,79.80891,9.3.TRAF_CLI.PLAN,50
2020-09,2020,9,170294.774231,26726.826028,197021.600259,54168.128301,251189.72856,21.564627,78.435373,9.3.TRAF_CLI.PLAN,51
2020-10,2020,10,184599.300899,27450.25515,212049.556049,50155.567868,262205.123916,19.128371,80.871629,9.3.TRAF_CLI.PLAN,52
2020-11,2020,11,177558.655654,28693.088899,206251.744552,56793.398132,263045.142684,21.590742,78.409258,9.3.TRAF_CLI.PLAN,53
2020-12,2020,12,181780.064835,29292.400753,211072.465589,63822.247146,274894.712735,23.216979,76.783021,9.3.TRAF_CLI.PLAN,54
2021-01,2021,1,218045.491278,28886.061936,246931.553213,32327.676728,279259.229942,11.576225,88.423775,9.3.TRAF_CLI.PLAN,55
2021-02,2021,2,205714.444374,27100.527007,232814.971382,29780.232763,262595.204145,11.340737,88.659263,9.3.TRAF_CLI.PLAN,56
2021-03,2021,3,237497.384248,30219.066957,267716.451205,33805.006481,301521.457686,11.211476,88.788524,9.3.TRAF_CLI.PLAN,57
2021-04,2021,4,246213.783998,31880.490639,278094.274637,34263.496314,312357.770951,10.969311,89.030689,9.3.TRAF_CLI.PLAN,58
2021-05,2021,5,252311.049009,32456.360135,284767.409143,32163.856659,316931.265803,10.148527,89.851473,9.3.TRAF_CLI.PLAN,59
2021-06,2021,6,253155.62737,32426.470765,285582.098135,30254.983531,315837.081666,9.579301,90.420699,9.3.TRAF_CLI.PLAN,60
2021-07,2021,7,266770.322923,33835.376466,300605.699389,30157.710277,330763.409666,9.117608,90.882392,9.3.TRAF_CLI.PLAN,61
2021-08,2021,8,270048.616883,34163.599692,304212.216575,26762.603814,330974.820389,8.085994,91.914006,9.3.TRAF_CLI.PLAN,62
2021-09,2021,9,269604.624626,33605.70582,303210.330446,29105.351577,332315.682023,8.758344,91.241656,9.3.TRAF_CLI.PLAN,63
2021-10,2021,10,286429.436416,35709.537493,322138.973909,30597.62779,352736.601699,8.674356,91.325644,9.3.TRAF_CLI.PLAN,64
2021-11,2021,11,280320.898386,34832.804065,315153.702451,29568.114383,344721.816834,8.577384,91.422616,9.3.TRAF_CLI.PLAN,65
