dataset,sheet,header_row,column,header,source_url
fixed_connections,ÍNDICE,13,2,>,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,ÍNDICE,13,3,"7.7.1. CONEXIONES FIJAS POR TECNOLOGÍA, REGIÓN Y EMPRESA",https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.1.CO_TOT_FIJAS,8,3,Año,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.1.CO_TOT_FIJAS,8,4,Mes,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.1.CO_TOT_FIJAS,8,5,Total de Conexiones,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.1.CO_TOT_FIJAS,8,6,Crecimiento Anual,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.1.CO_TOT_FIJAS,8,7,Penetración cada 100 hab.,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.1.CO_TOT_FIJAS,8,8,Crecimiento Anual P.B.,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.2.Conex area,2,2,"SERVICIO ACCESO A INTERNET: NÚMERO DE CONEXIONES TOTALES FIJAS POR TIPO DE ÁREA (URBANO, RURAL), TIPO DE CLIENTE Y REGIÓN - MARZO 2026",https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.3.Conex suscrip,8,2,Año,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.3.Conex suscrip,8,3,Mes,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.3.Conex suscrip,8,4,Residencial,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.3.Conex suscrip,8,5,Comercial,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
fixed_connections,7.3.Conex suscrip,8,6,Otros no identificados,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
