period,household_penetration_pct,wired_subscribers_thousand,satellite_subscribers_thousand,total_subscribers_thousand,source_id,source_page
2009,34.7,1003,661,1664,subtel_report_2026h1,9
2010,39.1,1076,853,1929,subtel_report_2026h1,9
2011,40.8,1138,930,2068,subtel_report_2026h1,9
2012,41.3,1178,982,2160,subtel_report_2026h1,9
2013,47.5,1286,1270,2556,subtel_report_2026h1,9
2014,51.3,1375,1435,2810,subtel_report_2026h1,9
2015,52.9,1429,1511,2940,subtel_report_2026h1,9
2016,54.0,1479,1571,3050,subtel_report_2026h1,9
2017,57.5,1631,1664,3295,subtel_report_2026h1,9
2018,56.6,1704,1626,3330,subtel_report_2026h1,9
2019,53.5,1762,1462,3224,subtel_report_2026h1,9
2020,53.1,1897,1375,3272,subtel_report_2026h1,9
2021,55.0,2174,1275,3449,subtel_report_2026h1,9
2022,52.0,2225,1083,3308,subtel_report_2026h1,9
2023,47.7,2183,893,3076,subtel_report_2026h1,9
2024,43.7,2138,722,2860,subtel_report_2026h1,9
2025,38.6,2034,512,2546,subtel_report_2026h1,9
2026-06,37.5,1981,496,2477,subtel_report_2026h1,9
