period,year,quarter,wired_subscribers,satellite_subscribers,total_subscribers,wired_share_pct,satellite_share_pct,penetration_per_100,source_id,source_page
2010Q4,2010,4,1075675,853019,1928694,55.772,44.228,11.3,subtel_report_2026h1,31
2011Q1,2011,1,1090550,881663,1972213,55.296,44.704,11.5,subtel_report_2026h1,31
2011Q2,2011,2,1119040,919964,2039004,54.882,45.118,11.9,subtel_report_2026h1,31
2011Q3,2011,3,1138718,928021,2066739,55.097,44.903,12.0,subtel_report_2026h1,31
2011Q4,2011,4,1137625,929743,2067368,55.028,44.972,12.0,subtel_report_2026h1,31
2012Q1,2012,1,1162383,943844,2106227,55.188,44.812,12.1,subtel_report_2026h1,31
2012Q2,2012,2,1168831,952767,2121598,55.092,44.908,12.2,subtel_report_2026h1,31
2012Q3,2012,3,1159513,913831,2073344,55.925,44.075,11.9,subtel_report_2026h1,31
2012Q4,2012,4,1177637,982342,2159979,54.521,45.479,12.4,subtel_report_2026h1,31
2013Q1,2013,1,1217905,1039535,2257440,53.951,46.049,12.9,subtel_report_2026h1,31
2013Q2,2013,2,1246254,1132490,2378744,52.391,47.609,13.5,subtel_report_2026h1,31
2013Q3,2013,3,1269541,1220367,2489908,50.987,49.013,14.1,subtel_report_2026h1,31
2013Q4,2013,4,1285639,1269981,2555620,50.306,49.694,14.5,subtel_report_2026h1,31
2014Q1,2014,1,1305964,1327638,2633602,49.589,50.411,14.9,subtel_report_2026h1,31
2014Q2,2014,2,1346995,1403668,2750663,48.97,51.03,15.5,subtel_report_2026h1,31
2014Q3,2014,3,1355619,1416966,2772585,48.894,51.106,15.6,subtel_report_2026h1,31
2014Q4,2014,4,1374806,1435175,2809981,48.926,51.074,15.7,subtel_report_2026h1,31
2015Q1,2015,1,1377227,1467131,2844358,48.42,51.58,15.9,subtel_report_2026h1,31
2015Q2,2015,2,1410850,1503891,2914741,48.404,51.596,16.2,subtel_report_2026h1,31
2015Q3,2015,3,1421967,1498941,2920908,48.682,51.318,16.2,subtel_report_2026h1,31
2015Q4,2015,4,1429197,1510826,2940023,48.612,51.388,16.3,subtel_report_2026h1,31
2016Q1,2016,1,1447991,1523305,2971296,48.733,51.267,16.4,subtel_report_2026h1,31
2016Q2,2016,2,1455657,1545637,3001294,48.501,51.499,16.5,subtel_report_2026h1,31
2016Q3,2016,3,1467188,1554171,3021359,48.561,51.439,16.5,subtel_report_2026h1,31
2016Q4,2016,4,1478889,1571458,3050347,48.483,51.517,16.6,subtel_report_2026h1,31
2017Q1,2017,1,1571143,1572291,3143434,49.982,50.018,17.1,subtel_report_2026h1,31
2017Q2,2017,2,1602344,1627401,3229745,49.612,50.388,17.5,subtel_report_2026h1,31
2017Q3,2017,3,1620460,1632771,3253231,49.811,50.189,17.6,subtel_report_2026h1,31
2017Q4,2017,4,1631090,1663864,3294954,49.503,50.497,17.7,subtel_report_2026h1,31
2018Q1,2018,1,1645999,1677118,3323117,49.532,50.468,17.8,subtel_report_2026h1,31
2018Q2,2018,2,1666980,1691741,3358721,49.631,50.369,17.9,subtel_report_2026h1,31
2018Q3,2018,3,1686691,1664829,3351520,50.326,49.674,17.8,subtel_report_2026h1,31
2018Q4,2018,4,1703569,1625974,3329543,51.165,48.835,17.6,subtel_report_2026h1,31
2019Q1,2019,1,1727530,1588177,3315707,52.101,47.899,17.5,subtel_report_2026h1,31
2019Q2,2019,2,1742548,1573034,3315582,52.556,47.444,17.4,subtel_report_2026h1,31
2019Q3,2019,3,1761798,1505912,3267710,53.915,46.085,17.1,subtel_report_2026h1,31
2019Q4,2019,4,1762461,1462249,3224710,54.655,45.345,16.8,subtel_report_2026h1,31
2020Q1,2020,1,1779403,1434425,3213828,55.367,44.633,16.7,subtel_report_2026h1,31
2020Q2,2020,2,1803910,1394157,3198067,56.406,43.594,16.6,subtel_report_2026h1,31
2020Q3,2020,3,1840738,1392883,3233621,56.925,43.075,16.8,subtel_report_2026h1,31
2020Q4,2020,4,1894899,1374942,3269841,57.951,42.049,17.0,subtel_report_2026h1,31
2021Q1,2021,1,1953500,1356335,3309835,59.021,40.979,17.1,subtel_report_2026h1,31
2021Q2,2021,2,2031003,1362741,3393744,59.845,40.155,17.5,subtel_report_2026h1,31
2021Q3,2021,3,2104109,1314487,3418596,61.549,38.451,17.6,subtel_report_2026h1,31
