period,hughesnet_connections,starlink_connections,two_named_satellite_providers_connections,starlink_share_of_two_named_providers_pct,two_named_providers_share_total_fixed_pct,starlink_share_total_fixed_pct,scope_note
2020-06,1209,0,1209,0.0,0.033693,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2020-07,4950,0,4950,0.0,0.136693,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2020-08,5927,0,5927,0.0,0.162211,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2020-09,6815,0,6815,0.0,0.184117,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2020-10,7715,0,7715,0.0,0.205821,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2020-11,8533,0,8533,0.0,0.225702,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2020-12,9371,0,9371,0.0,0.246473,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-01,11022,0,11022,0.0,0.288098,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-02,12200,0,12200,0.0,0.315169,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-03,14292,0,14292,0.0,0.362962,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-04,14559,0,14559,0.0,0.363462,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-05,14689,0,14689,0.0,0.36276,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-06,13800,0,13800,0.0,0.337441,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-07,13904,0,13904,0.0,0.337116,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-08,13894,0,13894,0.0,0.335133,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-09,13768,0,13768,0.0,0.327931,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-10,13277,0,13277,0.0,0.313428,0.0,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-11,13331,1130,14461,7.814121,0.339797,0.026552,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2021-12,15975,1399,17374,8.052262,0.405225,0.03263,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2022-01,13591,2228,15819,14.084329,0.368212,0.05186,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2022-02,12241,2742,14983,18.300741,0.349497,0.063961,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2022-03,15668,3111,18779,16.566377,0.431077,0.071414,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
2022-04,15738,3324,19062,17.437834,0.436016,0.076032,Operator proxy using Hughesnet and Starlink only; not a complete technology-total measure of satellite access
