period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2000-12,2000,12,fixed_connections,fixed_connections_total,585489,connections,7.1.CO_TOT_FIJAS,9
2000-12,2000,12,fixed_connections,penetration_per_100_inhabitants,3.788111,per_100_inhabitants,7.1.CO_TOT_FIJAS,9
2001-12,2001,12,fixed_connections,fixed_connections_total,698127,connections,7.1.CO_TOT_FIJAS,10
2001-12,2001,12,fixed_connections,penetration_per_100_inhabitants,4.466251,per_100_inhabitants,7.1.CO_TOT_FIJAS,10
2002-12,2002,12,fixed_connections,fixed_connections_total,757760,connections,7.1.CO_TOT_FIJAS,11
2002-12,2002,12,fixed_connections,penetration_per_100_inhabitants,4.795742,per_100_inhabitants,7.1.CO_TOT_FIJAS,11
2003-12,2003,12,fixed_connections,fixed_connections_total,836007,connections,7.1.CO_TOT_FIJAS,12
2003-12,2003,12,fixed_connections,penetration_per_100_inhabitants,5.236985,per_100_inhabitants,7.1.CO_TOT_FIJAS,12
2004-12,2004,12,fixed_connections,fixed_connections_total,805315,connections,7.1.CO_TOT_FIJAS,13
2004-12,2004,12,fixed_connections,penetration_per_100_inhabitants,4.995844,per_100_inhabitants,7.1.CO_TOT_FIJAS,13
2005-12,2005,12,fixed_connections,fixed_connections_total,906079,connections,7.1.CO_TOT_FIJAS,14
2005-12,2005,12,fixed_connections,penetration_per_100_inhabitants,5.566622,per_100_inhabitants,7.1.CO_TOT_FIJAS,14
2006-12,2006,12,fixed_connections,fixed_connections_total,1087738,connections,7.1.CO_TOT_FIJAS,15
2006-12,2006,12,fixed_connections,penetration_per_100_inhabitants,6.617826,per_100_inhabitants,7.1.CO_TOT_FIJAS,15
2007-12,2007,12,fixed_connections,fixed_connections_total,1331919,connections,7.1.CO_TOT_FIJAS,16
2007-12,2007,12,fixed_connections,penetration_per_100_inhabitants,8.024943,per_100_inhabitants,7.1.CO_TOT_FIJAS,16
2008-12,2008,12,fixed_connections,fixed_connections_total,1439009,connections,7.1.CO_TOT_FIJAS,17
2008-12,2008,12,fixed_connections,penetration_per_100_inhabitants,8.582281,per_100_inhabitants,7.1.CO_TOT_FIJAS,17
2009-12,2009,12,fixed_connections,fixed_connections_total,1695034,connections,7.1.CO_TOT_FIJAS,18
2009-12,2009,12,fixed_connections,penetration_per_100_inhabitants,10.003889,per_100_inhabitants,7.1.CO_TOT_FIJAS,18
2009-12,2009,12,mobile_connections,connections_2g,3052045,connections,8.1.CO_TEC_MOVIL,8
2009-12,2009,12,mobile_connections,connections_3g,638787,connections,8.1.CO_TEC_MOVIL,8
2009-12,2009,12,mobile_connections,connections_3g_4g_5g,638787,connections,8.1.CO_TEC_MOVIL,8
2009-12,2009,12,mobile_connections,mobile_connections_total,3690832,connections,8.1.CO_TEC_MOVIL,8
2010-12,2010,12,fixed_connections,fixed_connections_total,1819564,connections,7.1.CO_TOT_FIJAS,47
2010-12,2010,12,fixed_connections,penetration_per_100_inhabitants,10.630152,per_100_inhabitants,7.1.CO_TOT_FIJAS,47
2010-12,2010,12,mobile_connections,connections_2g,3809777,connections,8.1.CO_TEC_MOVIL,20
2010-12,2010,12,mobile_connections,connections_3g,1445675,connections,8.1.CO_TEC_MOVIL,20
2010-12,2010,12,mobile_connections,connections_3g_4g_5g,1445675,connections,8.1.CO_TEC_MOVIL,20
2010-12,2010,12,mobile_connections,mobile_connections_total,5255452,connections,8.1.CO_TEC_MOVIL,20
2011-12,2011,12,fixed_connections,fixed_connections_total,2025042,connections,7.1.CO_TOT_FIJAS,59
2011-12,2011,12,fixed_connections,penetration_per_100_inhabitants,11.710808,per_100_inhabitants,7.1.CO_TOT_FIJAS,59
2011-12,2011,12,mobile_connections,connections_2g,4802719,connections,8.1.CO_TEC_MOVIL,32
2011-12,2011,12,mobile_connections,connections_3g,3154995,connections,8.1.CO_TEC_MOVIL,32
2011-12,2011,12,mobile_connections,connections_3g_4g_5g,3154995,connections,8.1.CO_TEC_MOVIL,32
2011-12,2011,12,mobile_connections,mobile_connections_total,7957714,connections,8.1.CO_TEC_MOVIL,32
2012-12,2012,12,fixed_connections,fixed_connections_total,2186173,connections,7.1.CO_TOT_FIJAS,71
2012-12,2012,12,fixed_connections,penetration_per_100_inhabitants,12.514525,per_100_inhabitants,7.1.CO_TOT_FIJAS,71
2012-12,2012,12,mobile_connections,connections_2g,3988594,connections,8.1.CO_TEC_MOVIL,44
2012-12,2012,12,mobile_connections,connections_3g,4983888,connections,8.1.CO_TEC_MOVIL,44
2012-12,2012,12,mobile_connections,connections_3g_4g_5g,4983888,connections,8.1.CO_TEC_MOVIL,44
2012-12,2012,12,mobile_connections,mobile_connections_total,8972482,connections,8.1.CO_TEC_MOVIL,44
2013-12,2013,12,fixed_connections,fixed_connections_total,2309572,connections,7.1.CO_TOT_FIJAS,83
2013-12,2013,12,fixed_connections,penetration_per_100_inhabitants,13.085445,per_100_inhabitants,7.1.CO_TOT_FIJAS,83
2013-12,2013,12,mobile_connections,connections_2g,3444862,connections,8.1.CO_TEC_MOVIL,56
2013-12,2013,12,mobile_connections,connections_3g,6366120,connections,8.1.CO_TEC_MOVIL,56
2013-12,2013,12,mobile_connections,connections_3g_4g_5g,6366120,connections,8.1.CO_TEC_MOVIL,56
2013-12,2013,12,mobile_connections,mobile_connections_total,9810982,connections,8.1.CO_TEC_MOVIL,56
2014-12,2014,12,fixed_connections,fixed_connections_total,2501356,connections,7.1.CO_TOT_FIJAS,95
2014-12,2014,12,fixed_connections,penetration_per_100_inhabitants,14.014146,per_100_inhabitants,7.1.CO_TOT_FIJAS,95
