period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2000-12,2000,12,fixed_connections,fixed_connections_total,585489,connections,7.1.CO_TOT_FIJAS,9
2000-12,2000,12,fixed_connections,penetration_per_100_inhabitants,3.788111,per_100_inhabitants,7.1.CO_TOT_FIJAS,9
2001-12,2001,12,fixed_connections,fixed_connections_total,698127,connections,7.1.CO_TOT_FIJAS,10
2001-12,2001,12,fixed_connections,penetration_per_100_inhabitants,4.466251,per_100_inhabitants,7.1.CO_TOT_FIJAS,10
2002-12,2002,12,fixed_connections,fixed_connections_total,757760,connections,7.1.CO_TOT_FIJAS,11
2002-12,2002,12,fixed_connections,penetration_per_100_inhabitants,4.795742,per_100_inhabitants,7.1.CO_TOT_FIJAS,11
2003-12,2003,12,fixed_connections,fixed_connections_total,836007,connections,7.1.CO_TOT_FIJAS,12
2003-12,2003,12,fixed_connections,penetration_per_100_inhabitants,5.236985,per_100_inhabitants,7.1.CO_TOT_FIJAS,12
2004-12,2004,12,fixed_connections,fixed_connections_total,805315,connections,7.1.CO_TOT_FIJAS,13
2004-12,2004,12,fixed_connections,penetration_per_100_inhabitants,4.995844,per_100_inhabitants,7.1.CO_TOT_FIJAS,13
2005-12,2005,12,fixed_connections,fixed_connections_total,906079,connections,7.1.CO_TOT_FIJAS,14
2005-12,2005,12,fixed_connections,penetration_per_100_inhabitants,5.566622,per_100_inhabitants,7.1.CO_TOT_FIJAS,14
2006-12,2006,12,fixed_connections,fixed_connections_total,1087738,connections,7.1.CO_TOT_FIJAS,15
2006-12,2006,12,fixed_connections,penetration_per_100_inhabitants,6.617826,per_100_inhabitants,7.1.CO_TOT_FIJAS,15
2007-12,2007,12,fixed_connections,fixed_connections_total,1331919,connections,7.1.CO_TOT_FIJAS,16
2007-12,2007,12,fixed_connections,penetration_per_100_inhabitants,8.024943,per_100_inhabitants,7.1.CO_TOT_FIJAS,16
2008-12,2008,12,fixed_connections,fixed_connections_total,1439009,connections,7.1.CO_TOT_FIJAS,17
2008-12,2008,12,fixed_connections,penetration_per_100_inhabitants,8.582281,per_100_inhabitants,7.1.CO_TOT_FIJAS,17
2009-12,2009,12,fixed_connections,fixed_connections_total,1695034,connections,7.1.CO_TOT_FIJAS,18
2009-12,2009,12,fixed_connections,penetration_per_100_inhabitants,10.003889,per_100_inhabitants,7.1.CO_TOT_FIJAS,18
2010-12,2010,12,fixed_connections,fixed_connections_total,1819564,connections,7.1.CO_TOT_FIJAS,19
2010-12,2010,12,fixed_connections,penetration_per_100_inhabitants,10.630152,per_100_inhabitants,7.1.CO_TOT_FIJAS,19
2011-12,2011,12,fixed_connections,fixed_connections_total,2025042,connections,7.1.CO_TOT_FIJAS,20
2011-12,2011,12,fixed_connections,penetration_per_100_inhabitants,11.710808,per_100_inhabitants,7.1.CO_TOT_FIJAS,20
2012-12,2012,12,fixed_connections,fixed_connections_total,2186173,connections,7.1.CO_TOT_FIJAS,21
2012-12,2012,12,fixed_connections,penetration_per_100_inhabitants,12.514525,per_100_inhabitants,7.1.CO_TOT_FIJAS,21
2013-12,2013,12,fixed_connections,fixed_connections_total,2309572,connections,7.1.CO_TOT_FIJAS,22
2013-12,2013,12,fixed_connections,penetration_per_100_inhabitants,13.085445,per_100_inhabitants,7.1.CO_TOT_FIJAS,22
2014-12,2014,12,fixed_connections,fixed_connections_total,2501356,connections,7.1.CO_TOT_FIJAS,23
2014-12,2014,12,fixed_connections,penetration_per_100_inhabitants,14.014146,per_100_inhabitants,7.1.CO_TOT_FIJAS,23
2015-12,2015,12,fixed_connections,fixed_connections_total,2729251,connections,7.1.CO_TOT_FIJAS,24
2015-12,2015,12,fixed_connections,penetration_per_100_inhabitants,15.111343,per_100_inhabitants,7.1.CO_TOT_FIJAS,24
2016-12,2016,12,fixed_connections,fixed_connections_total,2912133,connections,7.1.CO_TOT_FIJAS,25
2016-12,2016,12,fixed_connections,penetration_per_100_inhabitants,15.895064,per_100_inhabitants,7.1.CO_TOT_FIJAS,25
2017-12,2017,12,fixed_connections,fixed_connections_total,3068528,connections,7.1.CO_TOT_FIJAS,26
2017-12,2017,12,fixed_connections,penetration_per_100_inhabitants,16.497399,per_100_inhabitants,7.1.CO_TOT_FIJAS,26
2018-12,2018,12,fixed_connections,fixed_connections_total,3256097,connections,7.1.CO_TOT_FIJAS,27
2018-12,2018,12,fixed_connections,penetration_per_100_inhabitants,17.219898,per_100_inhabitants,7.1.CO_TOT_FIJAS,27
2019-12,2019,12,fixed_connections,fixed_connections_total,3434767,connections,7.1.CO_TOT_FIJAS,28
2019-12,2019,12,fixed_connections,penetration_per_100_inhabitants,17.916329,per_100_inhabitants,7.1.CO_TOT_FIJAS,28
2020-12,2020,12,fixed_connections,fixed_connections_total,3802033,connections,7.1.CO_TOT_FIJAS,29
2020-12,2020,12,fixed_connections,penetration_per_100_inhabitants,19.699722,per_100_inhabitants,7.1.CO_TOT_FIJAS,29
2021-12,2021,12,fixed_connections,fixed_connections_total,4287491,connections,7.1.CO_TOT_FIJAS,30
2021-12,2021,12,fixed_connections,penetration_per_100_inhabitants,22.00599,per_100_inhabitants,7.1.CO_TOT_FIJAS,30
2022-12,2022,12,fixed_connections,fixed_connections_total,4460212,connections,7.1.CO_TOT_FIJAS,31
2022-12,2022,12,fixed_connections,penetration_per_100_inhabitants,22.663835,per_100_inhabitants,7.1.CO_TOT_FIJAS,31
2023-12,2023,12,fixed_connections,fixed_connections_total,4524579,connections,7.1.CO_TOT_FIJAS,32
