period,services_per_inhabitant,source_page,source_url,source_type,scope_note
2000,0.5,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2001,0.6,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2002,0.7,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2003,0.8,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2004,0.9,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2005,1.0,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2006,1.1,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2007,1.2,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2008,1.3,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2009,1.4,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2010,1.7,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2011,1.9,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2012,2.1,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2013,2.2,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2014,2.3,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2015,2.3,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2016,2.5,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2017,2.6,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
2018,2.8,6,https://www.subtel.gob.cl/wp-content/uploads/2026/08/Informe-del-Sector-Telecomunicaciones-Jun26.pdf,official_report_chart_transcription,"Total services combines fixed voice, mobile voice, fixed internet, mobile internet and pay TV; excludes dial-up, Wi-Fi, internet-delivered services and private networks."
