reference_year,survey_wave,segment_dimension,segment_variable,segment_code,segment_label,n_unweighted,weighted_households,weighted_households_with_paid_access,paid_access_pct,household_weight,access_variable,access_yes_code,source_url,sav_file
2015,VII,national,,ALL,Chile,3600,5314553.0,3714363.0,69.8904,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,1.0,1. Iquique,150,90450.0,64274.0,71.0603,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,10.0,10. Los Lagos,150,265496.0,142169.0,53.5485,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,11.0,11. Aysén,150,28698.0,16026.0,55.8436,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,12.0,12. Magallanes,150,42439.0,31782.0,74.8887,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,13.0,13. Metropolitana,1200,2041176.0,1511931.0,74.0716,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,14.0,14. Los Ríos,150,124920.0,77933.0,62.3863,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,15.0,15. Arica y Parinacota,150,64717.0,41952.0,64.8238,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,2.0,2. Antofagasta,150,139341.0,114824.0,82.405,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,3.0,3. Atacama,150,95307.0,63659.0,66.7936,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,region,region,4.0,4. Coquimbo,150,232334.0,181117.0,77.9554,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
