reference_year,survey_wave,segment_dimension,segment_variable,segment_code,segment_label,n_unweighted,weighted_households,weighted_households_with_paid_access,paid_access_pct,household_weight,access_variable,access_yes_code,source_url,sav_file
2015,VII,socioeconomic,Quintil,1.0,0 a 74.969,467,663140.0,412712.0,62.236,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,socioeconomic,Quintil,2.0,74.970 a 125.558,741,1086798.0,672824.0,61.9088,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,socioeconomic,Quintil,3.0,125.559 a 193.104,732,1112542.0,792225.0,71.2085,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,socioeconomic,Quintil,4.0,193.105 a 352.743,853,1268661.0,912684.0,71.9407,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2015,VII,socioeconomic,Quintil,5.0,352.744 y más,807,1183412.0,923918.0,78.0724,factor_hogar_2016,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav,source_2015_VII.sav
2016,VIII,socioeconomic,Quintil_final,1.0,0 a 88.646,583,924364.0,667254.0,72.1852,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,2.0,88.647 a 146.042,680,1010087.0,739209.0,73.1827,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,3.0,146.043 a 221.979,892,1426840.0,1152251.0,80.7554,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,4.0,221.980 a 381.000,997,1273447.0,1054922.0,82.8399,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,socioeconomic,Quintil_final,5.0,381.001 y más,471,734038.0,643685.0,87.691,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2017,IX,socioeconomic,QUINTIL_PCD,1.0,Q1,602,987104.3,834190.5,84.5089,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,2.0,Q2,564,940224.2,775007.7,82.428,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,3.0,Q3,461,822207.4,691047.1,84.0478,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,4.0,Q4,412,646247.5,598667.7,92.6375,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,5.0,Q5,361,556837.5,509720.7,91.5385,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
2017,IX,socioeconomic,QUINTIL_PCD,99.0,99.0,1200,2468726.6,2203544.1,89.2583,FACTOR_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav,source_2017_IX.sav
