release_label,survey_name,fieldwork_or_reference,coverage,official_source
2026,Duodécima Encuesta Acceso y Usos de Internet,2025,16 regiones; hogares y personas 16+,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2025,Undécima Encuesta Acceso y Usos de Internet,2024,Chile,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2024,Décima Encuesta Acceso y Usos de Internet,2023,Chile,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2017,Novena Encuesta Acceso y Usos de Internet,2017,Chile,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2017,Octava Encuesta Acceso y Usos de Internet,2017,Chile,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2016,Séptima Encuesta Acceso y Usos de Internet,2016,Chile,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2015,Sexta Encuesta Acceso y Usos de Internet,2015,Chile,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2013,Quinta Encuesta Acceso Usos Usuarios y Disposición de Pago por Internet,2013,zonas urbanas y rurales,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2012,Cuarta Encuesta Acceso Usos Usuarios y Disposición de Pago por Internet,2012,zonas urbanas y rurales,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2011,Tercera Encuesta Acceso Usos Usuarios y Disposición de Pago por Internet,2011,zonas urbanas y rurales,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
2008,Encuesta sobre Acceso Uso y Usuarios de Internet Banda Ancha,2008,Chile,https://www.subtel.gob.cl/estudios/internet-y-sociedad-de-la-informacion/
