dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,household_weight,household_weighted_n,household_weighted_pct,person_weight,person_weighted_n,person_weighted_pct,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,5.0,5.- Región de Valparaíso,470,9.4,FE_HOGAR,608949.001,10.77474,FE_PERSONAS,1445401.022,10.46576,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,13.0,13.- Región Metropolitana de Santiago,550,11.0,FE_HOGAR,2238179.002,39.60231,FE_PERSONAS,5642419.831,40.85524,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,6.0,6.- Región del Libertador Bernardo Ohiggins,420,8.4,FE_HOGAR,301717.001,5.33858,FE_PERSONAS,711803.002,5.15397,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,7.0,7.- Región del Maule,430,8.6,FE_HOGAR,351508.999,6.2196,FE_PERSONAS,817186.018,5.91702,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,9.0,9.- Región de la Araucanía,430,8.6,FE_HOGAR,317525.001,5.61828,FE_PERSONAS,743482.013,5.38335,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,2.0,2.- Región de Antofagasta,300,6.0,FE_HOGAR,174314.0,3.08431,FE_PERSONAS,471322.038,3.41272,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,4.0,4.- Región de Coquimbo,320,6.4,FE_HOGAR,240317.0,4.25217,FE_PERSONAS,582250.026,4.21592,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,16.0,16.- Región del Ñuble,300,6.0,FE_HOGAR,163738.0,2.89718,FE_PERSONAS,379976.009,2.7513,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,15.0,15.- Región de Arica y Parinacota,120,2.4,FE_HOGAR,66842.0,1.1827,FE_PERSONAS,173710.0,1.25779,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,8.0,8.- Región del Bio-Bio,470,9.4,FE_HOGAR,507240.999,8.97512,FE_PERSONAS,1219562.989,8.83053,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,10.0,10.- Región de los Lagos,420,8.4,FE_HOGAR,277482.0,4.90976,FE_PERSONAS,644539.024,4.66693,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,3.0,3.- Región de Atacama,150,3.0,FE_HOGAR,88706.0,1.56956,FE_PERSONAS,216305.997,1.56621,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,1.0,1.- Región de Tarapacá,150,3.0,FE_HOGAR,97693.0,1.72858,FE_PERSONAS,248518.026,1.79945,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,12.0,12.- Región de Magallanes,150,3.0,FE_HOGAR,53832.0,0.9525,FE_PERSONAS,133543.002,0.96695,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,11.0,11.- Región de Aysen,120,2.4,FE_HOGAR,34609.0,0.61237,FE_PERSONAS,78419.005,0.56781,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,COD_REGION,,14.0,14.- Región de los Rios,200,4.0,FE_HOGAR,128984.0,2.28224,FE_PERSONAS,302322.998,2.18904,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,ZONA,ZONA,1.0,URBANA,3593,71.86,FE_HOGAR,4952299.001,87.62592,FE_PERSONAS,12101680.939,87.62501,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,ZONA,ZONA,2.0,RURAL,1407,28.14,FE_HOGAR,699338.001,12.37408,FE_PERSONAS,1709080.061,12.37499,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,5.0,Nieto(a),79,1.58,FE_HOGAR,97228.95,1.72037,FE_PERSONAS,340350.601,2.46439,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,1.0,Yo soy el jefe de Hogar,2998,59.96,FE_HOGAR,3434217.179,60.765,FE_PERSONAS,7801147.298,56.48601,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,6.0,Padre o Madre,58,1.16,FE_HOGAR,72434.304,1.28165,FE_PERSONAS,170062.081,1.23137,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,3.0,Hijo(a),733,14.66,FE_HOGAR,837467.653,14.81814,FE_PERSONAS,2690062.542,19.47802,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,4.0,Yerno o Nuera,40,0.8,FE_HOGAR,67286.519,1.19057,FE_PERSONAS,193579.216,1.40165,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,2.0,Cónyuge o Pareja,935,18.7,FE_HOGAR,973970.186,17.23342,FE_PERSONAS,2151146.579,15.57587,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,8.0,Hermano(a),48,0.96,FE_HOGAR,44688.595,0.79072,FE_PERSONAS,99738.416,0.72218,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A9,A9.- ¿Cuál es su parentesco con el Jefe /a de Hogar?,10.0,Otro familiar,64,1.28,FE_HOGAR,72097.793,1.2757,FE_PERSONAS,219499.067,1.58933,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",3.0,Básica completa,580,11.6,FE_HOGAR,588409.081,10.4113,FE_PERSONAS,1349521.611,9.77152,published only when unweighted n >= 30
