dataset_id,reference_year,survey_wave,rows,columns,household_weight,person_weight,source_url
2025_XII_bbddsubtel2025_031225,2025,XII,5000,587,FE_HOGAR,FE_PERSONAS,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2024_XI_bbdd_subtel2024_03022025,2024,XI,4700,375,POND_HOGAR_FE,PON_PER_SIN_GSE_FE,https://www.subtel.gob.cl/wp-content/uploads/2025/02/BBDD_Subtel2024_03022025.sav_.zip
2023_X_source_2023_x,2023,X,4710,543,FE_HOGAR,FE_USO,https://www.subtel.gob.cl/wp-content/uploads/2024/05/BBDD_Acceso_y_uso_Internet_v4.sav
2017_IX_source_2017_ix,2017,IX,3600,490,FACTOR_HOGAR,FACTOR_PERSONA,https://www.subtel.gob.cl/wp-content/uploads/2018/07/BBDD_IX_Encuesta_VFINAL_PUB.sav
2016_VIII_source_2016_viii,2016,VIII,3623,526,FACT_HOGAR,FACT_PER,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav
2015_VII_source_2015_vii,2015,VII,3600,487,factor_hogar_2016,FACT_PER,https://www.subtel.gob.cl/wp-content/uploads/2018/02/Base_septima_encuesta_Internet_factor_hogar_2016.sav
2014_VI_source_2014_vi,2014,VI,3633,388,FACTOR,FACTOR,https://www.subtel.gob.cl/wp-content/uploads/2015/04/SUB_NACIONAL_ENTREVISTADO_VF_VPUBL.sav
2013_V_source_2013_v,2013,V,9050,454,fact_hog,fact_selec,https://www.subtel.gob.cl/wp-content/uploads/2015/04/encuesta_subtel_2013_20140522_publica.sav
2012_IV_base_hogares_2012,2012,IV,3756,395,,,https://www.subtel.gob.cl/images/stories/apoyo_articulos/estudios/base_hogares_2012.zip
2011_III_baselinealfinal_expandida_v2,2011,III,2010,269,Factor_Transv,Factor_Transv,https://www.subtel.gob.cl/images/stories/apoyo_articulos/estudios/base_datos_final_2.zip
