commune_code,commune,region,has_polygon
1101,Iquique,Tarapacá,yes
1107,Alto Hospicio,Tarapacá,yes
1401,Pozo Almonte,Tarapacá,yes
1402,Camiña,Tarapacá,yes
1403,Colchane,Tarapacá,yes
1404,Huara,Tarapacá,yes
1405,Pica,Tarapacá,yes
2101,Antofagasta,Antofagasta,yes
2102,Mejillones,Antofagasta,yes
2103,Sierra Gorda,Antofagasta,yes
2104,Taltal,Antofagasta,yes
2201,Calama,Antofagasta,yes
2202,Ollagüe,Antofagasta,yes
2203,San Pedro de Atacama,Antofagasta,yes
2301,Tocopilla,Antofagasta,yes
2302,María Elena,Antofagasta,yes
3101,Copiapó,Atacama,yes
3102,Caldera,Atacama,yes
3103,Tierra Amarilla,Atacama,yes
3201,Chañaral,Atacama,yes
3202,Diego de Almagro,Atacama,yes
3301,Vallenar,Atacama,yes
3302,Alto del Carmen,Atacama,yes
3303,Freirina,Atacama,yes
3304,Huasco,Atacama,yes
4101,La Serena,Coquimbo,yes
4102,Coquimbo,Coquimbo,yes
4103,Andacollo,Coquimbo,yes
4104,La Higuera,Coquimbo,yes
4105,Paihuano,Coquimbo,yes
4106,Vicuña,Coquimbo,yes
4201,Illapel,Coquimbo,yes
4202,Canela,Coquimbo,yes
4203,Los Vilos,Coquimbo,yes
4204,Salamanca,Coquimbo,yes
4301,Ovalle,Coquimbo,yes
4302,Combarbalá,Coquimbo,yes
4303,Monte Patria,Coquimbo,yes
4304,Punitaqui,Coquimbo,yes
4305,Río Hurtado,Coquimbo,yes
5101,Valparaíso,Valparaíso,yes
5102,Casablanca,Valparaíso,yes
5103,Concón,Valparaíso,yes
5104,Juan Fernández,Valparaíso,yes
5105,Puchuncaví,Valparaíso,yes
5107,Quintero,Valparaíso,yes
5109,Viña del Mar,Valparaíso,yes
5201,Isla de Pascua,Valparaíso,yes
5301,Los Andes,Valparaíso,yes
5302,Calle Larga,Valparaíso,yes
5303,Rinconada,Valparaíso,yes
5304,San Esteban,Valparaíso,yes
5401,La Ligua,Valparaíso,yes
5402,Cabildo,Valparaíso,yes
5403,Papudo,Valparaíso,yes
5404,Petorca,Valparaíso,yes
5405,Zapallar,Valparaíso,yes
5501,Quillota,Valparaíso,yes
5502,Calera,Valparaíso,yes
5503,Hijuelas,Valparaíso,yes
5504,La Cruz,Valparaíso,yes
5506,Nogales,Valparaíso,yes
5601,San Antonio,Valparaíso,yes
5602,Algarrobo,Valparaíso,yes
5603,Cartagena,Valparaíso,yes
5604,El Quisco,Valparaíso,yes
